code	producer_product_id	lc	product_name_ca	product_name_de	product_name_en	product_name_es	product_name_et	product_name_fi	product_name_fr	product_name_hr	product_name_it	product_name_la	product_name_nl	product_name_pl	product_name_pt	product_name_ro	generic_name_cs	generic_name_da	generic_name_de	generic_name_en	generic_name_es	generic_name_fi	generic_name_fr	generic_name_hr	generic_name_is	generic_name_it	generic_name_nl	generic_name_no	generic_name_pl	generic_name_pt	generic_name_ro	generic_name_ru	generic_name_sl	generic_name_sv	quantity	serving_size	packaging	packaging_tags	brands	brands_tags	brand_owner	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	origin_en	origin_es	origin_fr	origin_nl	manufacturing_places	manufacturing_places_tags	producer_es	producer_fr	producer_it	producer_nl	emb_codes	emb_codes_tags	ingredients_text_ca	ingredients_text_cs	ingredients_text_da	ingredients_text_de	ingredients_text_en	ingredients_text_es	ingredients_text_et	ingredients_text_fi	ingredients_text_fr	ingredients_text_hr	ingredients_text_is	ingredients_text_it	ingredients_text_nl	ingredients_text_no	ingredients_text_pl	ingredients_text_pt	ingredients_text_ro	ingredients_text_ru	ingredients_text_sl	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kcal_value	energy-kcal_unit	fat_value	fat_unit	saturated-fat_value	saturated-fat_unit	carbohydrates_value	carbohydrates_unit	sugars_value	sugars_unit	fiber_value	fiber_unit	proteins_value	proteins_unit	salt_value	salt_unit	sodium_value	sodium_unit	alcohol_value	alcohol_unit	energy_value	energy_unit	monounsaturated-fat_value	monounsaturated-fat_unit	polyunsaturated-fat_value	polyunsaturated-fat_unit	trans-fat_value	trans-fat_unit	cholesterol_value	cholesterol_unit	added-sugars_value	added-sugars_unit	lactose_value	lactose_unit	maltose_value	maltose_unit	starch_value	starch_unit	polyols_value	polyols_unit	vitamin-a_value	vitamin-a_unit	vitamin-d_value	vitamin-d_unit	vitamin-e_value	vitamin-e_unit	vitamin-c_value	vitamin-c_unit	vitamin-b1_value	vitamin-b1_unit	vitamin-b2_value	vitamin-b2_unit	vitamin-pp_value	vitamin-pp_unit	vitamin-b6_value	vitamin-b6_unit	vitamin-b9_value	vitamin-b9_unit	vitamin-b12_value	vitamin-b12_unit	pantothenic-acid_value	pantothenic-acid_unit	potassium_value	potassium_unit	calcium_value	calcium_unit	phosphorus_value	phosphorus_unit	iron_value	iron_unit	magnesium_value	magnesium_unit	zinc_value	zinc_unit	taurine_value	taurine_unit	fruits-vegetables-nuts_value	fruits-vegetables-nuts_unit	packaging_1_number_of_units	packaging_1_shape	packaging_1_material	packaging_1_recycling	packaging_1_quantity_per_unit	packaging_1_weight_measured	packaging_2_number_of_units	packaging_2_shape	packaging_2_material	packaging_2_recycling	packaging_2_quantity_per_unit	packaging_2_weight_measured	packaging_3_number_of_units	packaging_3_shape	packaging_3_material	packaging_3_recycling	packaging_4_shape	packaging_4_material	conservation_conditions_es	conservation_conditions_fr	conservation_conditions_it	conservation_conditions_nl	conservation_conditions_pl	conservation_conditions_ro	warning_es	warning_fr	warning_it	warning_nl	preparation_es	preparation_fr	preparation_it	preparation_nl	preparation_pl	preparation_ro	nutriscore_score_producer	nutriscore_grade_producer	customer_service_es	customer_service_fr	customer_service_it	customer_service_nl	customer_service_pl	customer_service_ro	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_score	off:ecoscore_data.missing_key_data	off:ecoscore_data.agribalyse.code	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	sources_fields:org-database-usda:available_date	sources_fields:org-database-usda:fdc_category	sources_fields:org-database-usda:fdc_data_source	sources_fields:org-database-usda:fdc_id	sources_fields:org-database-usda:modified_date	sources_fields:org-database-usda:publication_date	data_sources
7790895643538		es				Almendras															alimento líquido a pasta de almendras, fortificado con vitaminas A, D, E, B6, B12, ácido fólico y calcio.														1 l	1 vaso 200 ml	en:multilayer-composite, Tetra Pak, en:Brick	en:multilayer-composite,en:tetra-pak,en:brick	Ades,Coca-Cola	ades,coca-cola		Bebidas y preparaciones de bebidas, Alimentos y bebidas de origen vegetal, Bebidas, Alimentos de origen vegetal, en:Dairy substitutes, Sustitutos de la leche, Frutos de cáscara y derivados, Bebidas de origen vegetal, Bebidas vegetales, Leches de frutos de cáscara, Leches de almendras, Bebidas con sabor, Bebidas azucaradas, en:Sweetened plain almond-based drinks	en:beverages-and-beverages-preparations,en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:dairy-substitutes,en:milk-substitutes,en:nuts-and-their-products,en:plant-based-beverages,en:plant-based-milk-alternatives,en:nut-based-drinks,en:almond-based-drinks,en:flavoured-drinks,en:sweetened-beverages,en:sweetened-plain-almond-based-drinks	Sin gluten, Fuente de calcio, FSC, FSC Mixto, Sin lactosa, Sin TACC	en:no-gluten,en:calcium-source,en:fsc,en:fsc-mix,en:no-lactose,es:sin-tacc	Argentina, Bolivia, Chile, Paraguay, Perú, España, Uruguay	en:argentina,en:bolivia,en:chile,en:paraguay,en:peru,en:spain,en:uruguay	Farmacorp,Fidalga,Amarket	farmacorp,fidalga,amarket	0		Argentina	en:argentina					Buenos Aires,Argentina	buenos-aires,argentina					040503010010,080503010017	040503010010,080503010017						"AGUA, PASTA DE ALMENDRAS, AZÚCAR, JARABE DE MAÍZ DE ALTA FRUCTOSA, MALTODEXTRINA, CARBONATO DE CALCIO, SAL, VITAMINA E, SULFATO DE ZINC, VITAMINA A, VITAMINA B12, VITAMINA D2, VITAMINA B6, VITAMINA B9, AROMATIZANTES IDÉNTICOS A LOS NATURALES, EMULSIONANTE (LECITINA DE GIRASOL), ESTABILIZANTE (GOMA XÁNTICA), ESPESANTE (GOMA GELLÁN), ANTIOXIDANTE (TOCOFEROL)."														Frutos de cáscara	en:nuts				100g	100g	105	kJ	25	kcal	1.1	g	0.1	g	3.3	g	2.4	g	0.2	g	0.4	g	130	mg	52	mg			105	kJ	0.7	g	0.2	g	0	g	0	mg											60	µg	1	µg	0.8	mg									0.13	mg	24	µg	0.48	µg					120	mg							0.53	mg					1	en:brick	en:tetra-pak	en:recycle			1	en:lid	en:plastic																																		https://www.coca-cola.com/ar/es/brands/ades/semillas/almendra	en:plant-based-milk-substitutes	en:beverages,en:plant-based-milk-substitutes	4	en:4-ultra-processed-food-and-drink-products	b	0	b	70		18107	-3	-6	0	0							Apps, app-elcoco, App - yuka
5411188112709		fr		Ohne Zucker Geröstete Mandel	Almond No Sugars	Sin Azúcar Almendras			Lait d'Amande grillée sans Sucres				Amandelmelk			Barista Almond			Mandeldrink, angereichert mit Calcium und Vitaminen	Almond drink with added calcium and vitamins	Bebida de almendras con calcio y vitaminas añadidas	Mantelijuoma	Lait d'amande avec calcium et vitamines ajoutés			Bevanda alla mandorla con calcio e vitamine aggiunte	Amandeldrink								1 l		Composites multicouches, Tetra Pak, Tetra Brik, Tetra Brik Aseptic, en:Kunststoff, en:Packung, en:Verbundstoff, en:Ziegel, en:composite-carton	en:composite-material,en:tetra-pak,en:tetra-brik,en:tetra-brik-aseptic,en:kunststoff,en:packung,en:verbundstoff,en:ziegel,en:composite-carton	Alpro	alpro		"Boissons et préparations de boissons, Aliments et boissons à base de végétaux, Boissons, Aliments d'origine végétale, Substituts de produits laitiers, Substituts du lait, Fruits à coques et dérivés, Boissons à base de végétaux, Boissons végétales, Boissons végétales de fruits à coque, Laits d'amande"	en:beverages-and-beverages-preparations,en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:dairy-substitutes,en:milk-substitutes,en:nuts-and-their-products,en:plant-based-beverages,en:plant-based-milk-alternatives,en:nut-based-drinks,en:almond-based-drinks	Peu ou pas de sucre, Sans gluten, Végétarien, Sans conservateurs, Végétalien, Source de calcium, Entreprise B certifiée, Union Végétarienne Européenne, Union Végétarienne Européenne Végétalien, en:FSC, FSC Mix, Faible teneur en graisses saturées, Sans colorants, Sans colorants ou conservateurs, Sans lait, Sans sucre, Nutriscore, Nutriscore B, Sans édulcorants, Triman	en:low-or-no-sugar,en:no-gluten,en:vegetarian,en:no-preservatives,en:vegan,en:calcium-source,en:certified-b-corporation,en:european-vegetarian-union,en:european-vegetarian-union-vegan,en:fsc,en:fsc-mix,en:low-saturated-fat,en:no-colorings,en:no-dyes-or-preservatives,en:no-milk,en:no-sugar,en:nutriscore,en:nutriscore-grade-b,en:without-sweeteners,fr:triman	Albanie, Autriche, Belgique, Croatie, Finlande, France, Allemagne, Grèce, Hongrie, Irlande, Luxembourg, Pays-Bas, Norvège, Pologne, Portugal, La Réunion, Roumanie, Espagne, Suède, Suisse, Royaume-Uni	en:albania,en:austria,en:belgium,en:croatia,en:finland,en:france,en:germany,en:greece,en:hungary,en:ireland,en:luxembourg,en:netherlands,en:norway,en:poland,en:portugal,en:reunion,en:romania,en:spain,en:sweden,en:switzerland,en:united-kingdom	Edeka,Carrefour,REMA 1000,Spar,K-Supermarket,Pingo Doce,Eroski	edeka,carrefour,rema-1000,spar,k-supermarket,pingo-doce,eroski	0														FSC C014047	fsc-c014047				Wasser, _Mandeln_ (2,3%), Tricalciumphosphat, Meersalz, Stabilisatoren (Johannisbrotkernmehl, Gellan), Emulgator (Lecithine (Sonnenblumen)], Vitamine (B2, B12, E, D2).	water,  almond  (2,3%), calcium (tricalcium phosphate), sea salt, stabilisers (locust bean gum, gellan gum), emulsifier (lecithins (sunflower]), vitamins (b2, b12, e, d2),	Agua, _almendra_ (2,3%), fosfato tricálcico, sal marina, estabilizantes (goma garrofín, goma gellan), emulgente (lecitinas), vitaminas (B2, B12, E, D2).		Vesi, _manteli_ (2,3%), trikalsiumfosfaatti, merisuola, stabilointiaineet (johanneksenleipäpuujauhe, gellaanikumi), emulgointiaine [lesitiinit), vitamiinit (B2, B12, E, D2). Saattaa sisältää jäämiä pähkinöistä (ei maapähkinästä).	"Eau, amande (Espagne) (2,3%), calcium, sel marin de table, stabilisants [farine de graines de caroube, gomme gellane), émulsifiant (lécithines), vitamines B2, B12, E, D2. Peut contenir des traces de fruits à coque (pas d'arachides). Sans produits laitiers, ni gluten."			Acqua, _mandorla_ (2,3%), fosfato tricalcico, sale marino, stabilizzanti (farina di semi di carrube, gomma di gellano), emulsionante (lecitina di girasole), vitamine (riboflavina (B2), B12, E,D2).	Water, _amandel_ (2,3%), tricalciumfosfaat, zeezout, stabilisatoren (johannesbroodpitmeel, gellangom), emulgator (lecithinen (zonnebloem)), vitaminen (B2, B12, E, D2).		"Woda, cukier, migdały (2 %), fosforan triwapniowy, sól morska, stabilizatory (mączka chleba świętojańskiego, guma gellan), emulgator (lecytyny ze słonecznika), witaminy (ryboflawina (B2), B12, E, D2)."		"Apă, Migdale (2.3%), Calciu (Tri-calcium phosphate), Sare de mare, Stabilizatori (gumă de roșcove, gumă Gellan), emulgator (Lecitine (floarea soarelui)], vitamine (B2, B12, E, D2). Poate conține urme de nuci (fără arahide)."			"Fruits à coque"	en:nuts	"Fruits à coque"	en:nuts		100g	100g	56	kJ	13	kcal	1.1	g	0.1	g	0	g	0	g	0.3	g	0.4	g	0.14	g	0.056	g			56	kJ																					0.75	mg	1.8	mg					0.21	mg							0.38	µg					120	mg													1	en:bottle	en:tetra-brik-aseptic	en:recycle-in-sorting-bin		32.5	1	en:bottle-cap	en:plastic	en:recycle-in-sorting-bin		1.4	1	en:seal	en:plastic	en:recycle-in-sorting-bin	en:brick																										https://www.alpro.com/uk/products/drinks/almond-drinks/almond-roasted-no-sugars/	en:plant-based-milk-substitutes	en:beverages,en:plant-based-milk-substitutes	4	en:4-ultra-processed-food-and-drink-products	b	0	b	61		18107	-3	-15	0	0							Database - FoodRepo / openfood.ch, Databases, App - yuka, Apps, App - Horizon, App - InFood, App - Open Food Facts, App - Speisekammer, App - smoothie-openfoodfacts, App - mon-coach-ig-bas, App - macrofactor
0854385005002		en			Naturally Almond Milk																														32 fl oz	236 ml			Naturally Almond	naturally-almond		Plant-based foods and beverages, Beverages, Plant-based foods, Dairy substitutes, Milk substitutes, Nuts and their products, Plant-based beverages, Plant-based milk alternatives, Nut-based drinks, Almond-based drinks	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:dairy-substitutes,en:milk-substitutes,en:nuts-and-their-products,en:plant-based-beverages,en:plant-based-milk-alternatives,en:nut-based-drinks,en:almond-based-drinks	No GMOs, No lactose, Non GMO project	en:no-gmos,en:no-lactose,en:non-gmo-project	Panama, Spain	en:panama,en:spain			0																				Almond Base (Filtered Water, Almonds), Cane Sugar, Calcium Carbonate (E170), Dipotassium Phosphate (E340), Gellan Gum (E418), Sunflower Lecithin (E322), Sea Salt, Monopotassium Phosphate (E340), Natural Flavors, Natural Vanilla Flavor, Vitamin A Palmitate, Ergocalciferol (Vitamin D2), DL-Alpha-Tocopheryl Acetate Vitamin E) (E307), Riboflavin (Vitamin B2) (E101), Zinc Gluconate, Cyanocobalamin (Vitamin B12), Contains Almond.															Nuts	en:nuts				serving	100g	292	kJ	70	kcal	4	g	0	g	8	g	7	g	1	g	1	g	237.5	mg	95	mg			292	kJ	0	g																			5	µg																			180	mg	585	mg			1	mg																																																				en:plant-based-milk-substitutes	en:beverages,en:plant-based-milk-substitutes	4	en:4-ultra-processed-food-and-drink-products	b	0	c	59	1	18107	-5	-15	1	0							App - yuka, Apps, App - El CoCo
8023678162360		en		Mandel-getränk	Almond	Almendra				Almond					Amêndoa		Mandlový nápoj BIO (bez lepku)	"Økologisk mandeldrik (glutenfri)"	Biologisches Mandel-Getränk (glutenfrei)	Organic almond drink (gluten free)	Bebida ecológica a base de almendra (sin gluten)	Luomo mantelijuoma (gluteeniton)	"Boisson biologique à base d'amandes (sans gluten)"	Bio napitak od badea (bez glutena)	Lífraenn möndlu drykkur (glútenlaus)	Bevanda biologica a base di mandorla (senza glutine)	Biologische drank op basis van amandelen (glutenvrij)	Biologisk mandeldrikk (glutenfri)		"Bebida biológica à base de amêndoa (sem glúten)"		"Органический миндальный напиток (не содержит глютен)"	Bio mandijev napitek (brez glutena)	Ekologisk mandeldryck (glutenfri)	1 l	200 ml	Multilayer-composite, Tetra Pak, Cardboard, Packet, Tetra Brik Aseptic, pt:C/PAP 84	en:multilayer-composite,en:tetra-pak,en:cardboard,en:packet,en:tetra-brik-aseptic,pt:c-pap-84	Isola Bio	isola-bio		Beverages and beverages preparations, Plant-based foods and beverages, Beverages, Plant-based foods, Dairy substitutes, Milk substitutes, Nuts and their products, Plant-based beverages, Nuts, Plant-based milk alternatives, Nut-based drinks, Almonds, Almond-based drinks	en:beverages-and-beverages-preparations,en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:dairy-substitutes,en:milk-substitutes,en:nuts-and-their-products,en:plant-based-beverages,en:nuts,en:plant-based-milk-alternatives,en:nut-based-drinks,en:almonds,en:almond-based-drinks	Low or no salt, Low salt, No gluten, Organic, Vegetarian, EU Organic, Kosher, Vegan, CZ-BIO-001, EAC, FSC, FSC Mix, Green Dot, IT-BIO-006, Made in Italy, No lactose, No milk, Vitamin E source, AB Agriculture Biologique	en:low-or-no-salt,en:low-salt,en:no-gluten,en:organic,en:vegetarian,en:eu-organic,en:kosher,en:vegan,en:cz-bio-001,en:eac,en:fsc,en:fsc-mix,en:green-dot,en:it-bio-006,en:made-in-italy,en:no-lactose,en:no-milk,en:vitamin-e-source,fr:ab-agriculture-biologique	Croatia, Finland, Netherlands, Portugal, Russia, Slovenia, Spain	en:croatia,en:finland,en:netherlands,en:portugal,en:russia,en:slovenia,en:spain			0								Italia	italia					FSC C014047	fsc-c014047		"voda, _madle_* 5%, agávovy sirup*, jedlá mořská sůl"	vand, _mandel_* 5%, agavesirup*, havsalt	Wasser, _Mandel_* 5%, Agavensirup*, Meersalz	Water, _almonds_* 5%, agave syrup*, sea salt. *organic.	agua, _almendra_* 5%, jarabe de agave*, sal marina		Vesi, _mantelit_* (5%), agave siirappi*, merisuola. *=Luomu.	eau, _amande_* 5%, sirop d'agave*, sel marin	voda, _badem_* 5%, sirup od agave*, morska sol	vatn, _möndlu_* 5%, agave-síróp*, sjávarsalt	acqua, _mandorle_* 5%, sciroppo d'agave*, sale marino	water, amandel* 5%, agavesiroop*, zeezout	vand, _mandel_* 5%, agave sirup*, havsalt		"Água, _amêndoa_* 5%, xarope de agave*, sal marinho. *de produção Biológica."		"вода, _миндаль_* 5%, сироп из агавы*, морская соль"	voda, _mandlji_* 5%, agavin sirup*, morska sol	Nuts	en:nuts	Nuts	en:nuts		100g	100g	163	kJ	39	kcal	2.5	g	0.2	g	3	g	2.8	g	0.7	g	0.8	g	0.09	g	0.036	g			163	kJ	1.5	g	0.7	g							0	g											1	mg																																	1	en:brick	en:tetra-brik-aseptic																																									en:plant-based-milk-substitutes	en:beverages,en:plant-based-milk-substitutes	3	en:3-processed-foods	b	0	a	85		18107	-5	-4	0	15							Scanparty - Rotterdam - 2019-04, App - yuka, Apps
22021298		pt													Bebida de Amêndoa															Bebida de amêndoas, biológica, UHT					1 l	250 ml	Cartão, Pacote	en:cardboard,en:packet	GutBio	gutbio		"en:Beverages and beverages preparations, Alimentos e bebidas à base de plantas, Bebidas, Alimentos à base de plantas, en:Dairy substitutes, Substitutos do leite, Nozes e seus produtos, Bebidas à base de plantas, Leites de planta, Leites de frutos secos, Bebidas de amêndoa"	en:beverages-and-beverages-preparations,en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:dairy-substitutes,en:milk-substitutes,en:nuts-and-their-products,en:plant-based-beverages,en:plant-based-milk-alternatives,en:nut-based-drinks,en:almond-based-drinks	"Orgânico, Vegetariano, Orgânico EU, Vegano, DE-ÖKO-013, União Vegetariana Europeia, União Vegetariana Europeia Vegano, FSC, FSC Misto, Sem açúcares adicionados"	en:organic,en:vegetarian,en:eu-organic,en:vegan,en:de-oko-013,en:european-vegetarian-union,en:european-vegetarian-union-vegan,en:fsc,en:fsc-mix,en:no-added-sugar	Portugal, Espanha	en:portugal,en:spain	Aldi	aldi	0														FSC C014047	fsc-c014047																"Água, _amêndoas_¹ (2,3%), sal marinho, regulador de acidez (citratos de cálcio), estabilizador (goma gelana).
¹Proveniente de agricultura biológica."				Nozes	en:nuts	Glúten, Nozes, Amendoins, Soja	en:gluten,en:nuts,en:peanuts,en:soybeans		100g	100g	59	kJ	14	kcal	1.3	g	0.1	g	0.5	g	0	g	0.5	g	0.5	g	0.13	g	0.052	g			59	kJ																																																																																																				en:plant-based-milk-substitutes	en:beverages,en:plant-based-milk-substitutes	4	en:4-ultra-processed-food-and-drink-products	b	0	b	74	1	18107	-5	-15	1	15							App - yuka, Apps, App - Open Food Facts
7501020552942		es				Leche de almendras sin azucar																													960 ml	200ml	Tetra Pak	en:tetra-pak	LALA	lala		Alimentos y bebidas de origen vegetal, Bebidas, Alimentos de origen vegetal, en:Dairy substitutes, Sustitutos de la leche, Frutos de cáscara y derivados, Bebidas de origen vegetal, Bebidas vegetales, Leches de frutos de cáscara, Leches de almendras	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:dairy-substitutes,en:milk-substitutes,en:nuts-and-their-products,en:plant-based-beverages,en:plant-based-milk-alternatives,en:nut-based-drinks,en:almond-based-drinks			México, España	en:mexico,en:spain			0		México	en:mexico					Gómez Palacio,Durango,México	gomez-palacio,durango,mexico											almond base (water, almond cream and maltodextrin), diglycerides, cellulose, iodized salt, gellana gum, natural flavor, stevia (5 ng/100 m), sucralose (5 mg/100 thousand), vitamin b5 (pantothenic acid), vitamin b2 (riboflavin), vitamin b1 (thiamine), vitamin a (üg retinol equivalent) vitamin d,	Base de almendra ( agua, crema de almendra y máltodextrina), diglicéridos , Celulosa, sal yodada, Goma gellana, Sabor natural, Estevia (5 ng/100 m), Sucralosa (5 mg/100 mil), Vitamina B5 (Acido pantoténica), Vitamina B2 (Riboflavina), Vitamina B1 (Tiamina), Vitamina A (üg equivalentes de retinol) vitamina D,																Leche	en:milk		100g	100g			22	kcal	1.3	g	0.3	g	2	g	0.2	g	0	g	0.5	g	0.17	g	0.068	g			22	kcal																					1	µg					184	µg	168	µg									0.67	µg			218	mg														en:brick	en:tetra-pak																																									en:plant-based-milk-substitutes	en:beverages,en:plant-based-milk-substitutes	4	en:4-ultra-processed-food-and-drink-products	b	0	b	72		18107	-3	-4	0	0							App - elcoco, Apps, App - yuka, App - El CoCo, App - InFood
8410128759704		es				Vivesoy Bebida de Almendras			Bebida de almendras												Bebida de Almendras con Calcio y Vitamina D														1 l	250 ml			ViveSoy	vivesoy		Alimentos y bebidas de origen vegetal, Bebidas, Alimentos de origen vegetal, en:Dairy substitutes, Sustitutos de la leche, Frutos de cáscara y derivados, Bebidas de origen vegetal, Bebidas vegetales, Leches de frutos de cáscara, Leches de almendras, en:Alimentos de origen vegetal, en:Alimentos y bebidas de origen vegetal, en:Bebidas, en:Bebidas de origen vegetal, en:Bebidas vegetales, en:Frutos de cáscara y derivados, en:Leches de almendras, en:Leches de frutos de cáscara, en:Sustitutos de la leche	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:dairy-substitutes,en:milk-substitutes,en:nuts-and-their-products,en:plant-based-beverages,en:plant-based-milk-alternatives,en:nut-based-drinks,en:almond-based-drinks,en:alimentos-de-origen-vegetal,en:alimentos-y-bebidas-de-origen-vegetal,en:bebidas,en:bebidas-de-origen-vegetal,en:bebidas-vegetales,en:frutos-de-cascara-y-derivados,en:leches-de-almendras,en:leches-de-frutos-de-cascara,en:sustitutos-de-la-leche	"Sin conservantes, 100% vegetal, Nutriscore, 100 % Cultivo Local"	en:no-preservatives,en:100-vegetable,en:nutriscore,es:100-cultivo-local	España, en:Francia	en:spain,en:francia			0		España	en:spain																		Agua, Azúcar, Almendras (2%), Estabilizantes (goma gelana y goma garrofín), Fosfato tricálcico, Sal, Emulgente (lecitina de girasol), Aroma, Antioxidante (extracto rico en tocoferoles) y Vitamina D														Frutos de cáscara	en:nuts	No contiene	es:no-contiene		100g	100g	108	kJ	26	kcal	1.2	g	0.1	g	3.2	g	3.1	g	0.3	g	0.5	g	0.14	g	0.056	g			108	kJ																																																										en:brick	en:tetra-brik	en:recycle-with-plastics-metal-and-bricks																																b								en:plant-based-milk-substitutes	en:beverages,en:plant-based-milk-substitutes	4	en:4-ultra-processed-food-and-drink-products	b	0	b	78		18107	3	-4	0	0							App - elcoco, App - yuka, Apps, App - El CoCo, Producers, Producer - pascual-leche-pascual-bezoya-vivesoy-mimik-bifrutas-dinamic-protein
7471718078873		es				Bebida de almendra tostada calcio																													1 L	250 ml	Tetrabrik	es:tetrabrik	Carrefour	carrefour		Alimentos y bebidas de origen vegetal, Bebidas, Alimentos de origen vegetal, en:Dairy substitutes, Sustitutos de la leche, Frutos de cáscara y derivados, Bebidas de origen vegetal, Bebidas vegetales, Leches de frutos de cáscara, Leches de almendras, Bebidas azucaradas	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:dairy-substitutes,en:milk-substitutes,en:nuts-and-their-products,en:plant-based-beverages,en:plant-based-milk-alternatives,en:nut-based-drinks,en:almond-based-drinks,en:sweetened-beverages	Etiquetas de distribuidores, Calidad Carrefour	en:distributor-labels,en:carrefour-quality	España	en:spain	Carrefour	carrefour	0																					Agua, azúcar, almendra tostada 2%, carbonate de calcio, estabilizantes: goma gellan y goma guar, sal, emulgente: lecitinas. Puede contener trazas de cereales que contengan gluten, soja y otros frutos de cáscara y derivados.														Frutos de cáscara	en:nuts	Gluten, Frutos de cáscara, Soja	en:gluten,en:nuts,en:soybeans		100g	100g	97	kJ			1.1	g	0.1	g	3	g	3	g			0.5	g	0.12	g	0.048	g			97	kJ																																											120	mg																																																								en:plant-based-milk-substitutes	en:beverages,en:plant-based-milk-substitutes	4	en:4-ultra-processed-food-and-drink-products	b	0	c	59	1	18107	-5	-15	1	0							
7790890070049		es							Lecha de Almendra																												Tetra Pak	en:tetra-pak				Bebidas y preparaciones de bebidas, Alimentos y bebidas de origen vegetal, Bebidas, Alimentos de origen vegetal, en:Dairy substitutes, Sustitutos de la leche, Frutos de cáscara y derivados, Bebidas de origen vegetal, Bebidas vegetales, Leches de frutos de cáscara, Leches de almendras	en:beverages-and-beverages-preparations,en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:dairy-substitutes,en:milk-substitutes,en:nuts-and-their-products,en:plant-based-beverages,en:plant-based-milk-alternatives,en:nut-based-drinks,en:almond-based-drinks	FSC, FSC Mixto, Sin lactosa	en:fsc,en:fsc-mix,en:no-lactose	Argentina, España	en:argentina,en:spain			0														FSC-C014047	fsc-c014047																									100g	100g			36	kcal	3	g	0.2	g	0.9	g	0	g			1.4	g	0.02	g	0.008	g			36	kcal																																																										en:brick	en:tetra-pak																																									en:plant-based-milk-substitutes	en:beverages,en:plant-based-milk-substitutes		unknown	b	0	b	70		18107	-5	-4	0	0							App - yuka, Apps, app-elcoco
5449000244239		es		Amazing almond	Amazing almond	Mandorla			Amazing almond												Bebida de almendra aromatizada, con vitamina B12 y calcio. UHT. Con edulcorante														800 ml	250 ml	it:1 bottiglia di PET, it:1 tappo di HDPE	it:1-bottiglia-di-pet,it:1-tappo-di-hdpe	AdeZ	adez		Alimentos y bebidas de origen vegetal, Bebidas, Alimentos de origen vegetal, en:Dairy substitutes, Sustitutos de la leche, Frutos de cáscara y derivados, Bebidas de origen vegetal, Bebidas vegetales, Leches de frutos de cáscara, Leches de almendras	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:dairy-substitutes,en:milk-substitutes,en:nuts-and-their-products,en:plant-based-beverages,en:plant-based-milk-alternatives,en:nut-based-drinks,en:almond-based-drinks	Vegetariano, Vegano, 100% vegetal, Fuente de calcio, Punto Verde, Sin azúcares añadidos, Sin lactosa, Fuente de vitamina B12, Con edulcorantes	en:vegetarian,en:vegan,en:100-vegetable,en:calcium-source,en:green-dot,en:no-added-sugar,en:no-lactose,en:vitamin-b12-source,en:with-sweeteners	Francia, Italia, España, Suiza	en:france,en:italy,en:spain,en:switzerland	Conad,Carrefour,Alcampo,Eroski	conad,carrefour,alcampo,eroski	0																			Wasser, mandel (2%	water, almond (2%), mineral salt: calcium phosphate, sodium chloride, acidity corrector: sodium bicarbonate, emulgent: sunflower lecithin, stabilizers: gellan gum (soy) and garrofin gum, natural flavors, sweetener: steviol glycosides and vitamin b12,	agua, _almendra_ (2%), sal mineral: fosfato cálcico, cloruro sódico, corrector de acidez: bicarbonato sódico, emulgente: lecitina de girasol, estabilizantes: goma gellan (_soja_) y goma garrofín, aromas naturales, edulcorante: glucósidos de esteviol y vitamina B12,														Frutos de cáscara, Soja	en:nuts,en:soybeans	Frutos de cáscara	en:nuts		100g	100g	101	kJ	24	kcal	1.2	g	0.1	g	2.6	g	1.8	g			0.6	g	0.15	g	0.06	g			101	kJ																																					0.38	µg					120	mg															en:pet-1-polyethylene-terephthalate						en:hdpe-2-high-density-polyethylene																																		https://www.cocacolaespana.es/productos-marcas/ades/almendra-de-leyenda	en:plant-based-milk-substitutes	en:beverages,en:plant-based-milk-substitutes	4	en:4-ultra-processed-food-and-drink-products	b	0	c	59		18107	-5	-15	0	0							Database - FoodRepo / openfood.ch, Databases, App - yuka, Apps, App - InFood, App - smoothie-openfoodfacts
