code	producer_product_id	lc	product_name_ar	product_name_ca	product_name_de	product_name_en	product_name_es	product_name_fr	product_name_it	product_name_nl	product_name_pt	product_name_ro	generic_name_de	generic_name_en	generic_name_es	generic_name_fr	generic_name_it	generic_name_nl	generic_name_pt	quantity	serving_size	packaging	packaging_tags	brands	brands_tags	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	manufacturing_places	manufacturing_places_tags	producer_es	producer_fr	producer_it	producer_nl	emb_codes	emb_codes_tags	ingredients_text_bg	ingredients_text_de	ingredients_text_en	ingredients_text_es	ingredients_text_fr	ingredients_text_it	ingredients_text_nl	ingredients_text_pt	ingredients_text_ro	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kcal_value	energy-kcal_unit	fat_value	fat_unit	saturated-fat_value	saturated-fat_unit	carbohydrates_value	carbohydrates_unit	sugars_value	sugars_unit	fiber_value	fiber_unit	proteins_value	proteins_unit	salt_value	salt_unit	sodium_value	sodium_unit	energy_value	energy_unit	monounsaturated-fat_value	monounsaturated-fat_unit	polyunsaturated-fat_value	polyunsaturated-fat_unit	polyols_value	polyols_unit	fruits-vegetables-nuts_value	fruits-vegetables-nuts_unit	packaging_1_shape	packaging_1_material	packaging_2_shape	packaging_2_material	packaging_3_shape	packaging_3_material	conservation_conditions_es	conservation_conditions_fr	conservation_conditions_it	conservation_conditions_nl	warning_es	warning_fr	warning_it	warning_nl	preparation_es	preparation_fr	preparation_it	preparation_nl	nutriscore_score_producer	nutriscore_grade_producer	customer_service_es	customer_service_fr	customer_service_it	customer_service_nl	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_score	off:ecoscore_data.missing_key_data	off:ecoscore_data.agribalyse.code	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	off:ecoscore_data.adjustments.threatened_species.value	data_sources
2108200002508		es					Croissant mantequilla 6 u																			Botanas, Snacks dulces, en:Sweet pastries and pies, Viennoiseries, Croissants, Croissants de mantequilla	en:snacks,en:sweet-snacks,en:sweet-pastries-and-pies,en:viennoiseries,en:croissants,en:butter-croissants			España	en:spain			0																										100g	100g																																																								en:pastries	en:sugary-snacks,en:pastries		unknown	unknown		b	62	1	7620	-5	-15	1	0		App - Yuka, Apps, App - smoothie-openfoodfacts
8435048246486		es					Croissant Sin Gluten																	betina	betina	Botanas, Snacks dulces, en:Sweet pastries and pies, Viennoiseries, Croissants	en:snacks,en:sweet-snacks,en:sweet-pastries-and-pies,en:viennoiseries,en:croissants	Sin gluten	en:no-gluten	España	en:spain			0																										100g	100g			398	kcal	19	g	8.8	g	52	g	11	g			3.7	g	1.23	g	0.492	g	398	kcal																																		en:pastries	en:sugary-snacks,en:pastries		unknown	e	19	b	69	1	7602	-5	-15	1	0		App - yuka, Apps
8480010028454		es					Croissant relleno de crema de cacao y avellanas													315g	45g			Eroski	eroski	Botanas, Snacks dulces, en:Sweet pastries and pies, Viennoiseries, Croissants, Cruasanes rellenos, Cruasán relleno de chocolate	en:snacks,en:sweet-snacks,en:sweet-pastries-and-pies,en:viennoiseries,en:croissants,en:filled-croissants,en:croissant-filled-with-chocolate	Punto Verde, Sin grasas hidrogenadas, Recicla-amarillo	en:green-dot,en:no-hydrogenated-fats,es:recicla-amarillo	España	en:spain	Eroski	eroski	0															Crema de cacao y _avellanas_ (33%) [azúcar, aceite de palma, suero de _leche_ en polvo, cacao desgrasado en polvo (8%), _avellanas_ (3%), emulgente: lecitina de _soja_ y aroma], harina de _trigo_, aceites y grasas vegetales (palma, girasol, soja) en proporción variable, azúcar, dextrosa, suero de _leche_ en polvo, levadura, _huevo_, sal, emulgentes: E-471 y E-472e, proteína de la _leche_, aromas, conservadores: E-282 y E-202, _gluten_ de trigo, estabilizane: goma guar, agente de tratamiento de la harina: ácido ascórbico y colorane: caroteno.						Huevos, Gluten, Leche, Frutos de cáscara, Soja	en:eggs,en:gluten,en:milk,en:nuts,en:soybeans				100g	100g	1645	kJ	392	kcal	17	g	5.6	g	53	g	19	g	2	g	5.8	g	0.63	g	0.252	g	1645	kJ	10.6	g	5.1	g																														en:pastries	en:sugary-snacks,en:pastries	4	en:4-ultra-processed-food-and-drink-products	d	13	c	59	1	7602	-5	-15	1	0	-10	App - yuka, Apps, App - smoothie-openfoodfacts
8414532052437		es					Mini croissant de mantequilla																	La Sirena	la-sirena	Botanas, Snacks dulces, en:Sweet pastries and pies, Viennoiseries, Croissants, Croissants de mantequilla	en:snacks,en:sweet-snacks,en:sweet-pastries-and-pies,en:viennoiseries,en:croissants,en:butter-croissants	Sin grasas hidrogenadas	en:no-hydrogenated-fats	España	en:spain			0																										100g	100g			407	kcal	21	g	15	g	44	g	5.6	g			9.3	g	1.1	g	0.44	g	407	kcal																																		en:pastries	en:sugary-snacks,en:pastries		unknown	e	20	b	62	1	7620	-5	-15	1	0		App - elcoco, Apps, App - yuka, App - El CoCo
8410099573989		es					La Bella Easo Croissants Cereale240g	La Bellacaso Croissants Cereale240g												240 g				La Bella Easo	la-bella-easo	Botanas, Snacks dulces, Galletas y pasteles, en:Sweet pastries and pies, Pasteles, Viennoiseries, Croissants	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:sweet-pastries-and-pies,en:cakes,en:viennoiseries,en:croissants	Sin conservantes	en:no-preservatives	Francia, España	en:france,en:spain			0															Harinas (46%) (TRIGO, arroz, CEBADA, CENTENO, AVENA), agua, grasa vegetal (palma),azúcar, HUEVO líquido pasteurizado (7,6%), aceite vegetal (girasol),aromas, gluten de TRIGO, masa madre (1%), levadura, MANTEQUILLA (0.6%) sal emulgentes (mono y diglicéridos de los ácidos grasos, E 481, E 472e), estabilizante (goma guar), corrector de acidez (ácido cítrico) y agente de tratamiento de la harina (ácido ascórbico).						Huevos, Gluten	en:eggs,en:gluten				100g	100g			128	kcal	24	g	12	g	44	g	13	g	2.7	g	0.5	g	0.5	g	0.2	g	128	kcal																																		en:pastries	en:sugary-snacks,en:pastries	4	en:4-ultra-processed-food-and-drink-products	d	13	c	59	1	7602	-5	-15	1	0	-10	App - yuka, Apps, App - El CoCo
8436026530429		es					Mini Croissant con mantequilla													250 g						Botanas, Snacks dulces, en:Sweet pastries and pies, Viennoiseries, Croissants, Croissants de mantequilla	en:snacks,en:sweet-snacks,en:sweet-pastries-and-pies,en:viennoiseries,en:croissants,en:butter-croissants	Sin conservantes, Punto Verde	en:no-preservatives,en:green-dot	España	en:spain			0																										100g	100g			416	kcal	25	g	11	g	43	g	17	g			4.1999998092651	g	0.35	g	0.14	g	416	kcal																																		en:pastries	en:sugary-snacks,en:pastries		unknown	e	19	b	62	1	7620	-5	-15	1	0		App - yuka, Apps
232846290000100150001507		es					Mini croissants de mantequilla																	Mercadona	mercadona	Botanas, Snacks dulces, en:Sweet pastries and pies, Viennoiseries, Croissants, Croissants de mantequilla, en:Croissants de mantequilla	en:snacks,en:sweet-snacks,en:sweet-pastries-and-pies,en:viennoiseries,en:croissants,en:butter-croissants,en:croissants-de-mantequilla			España	en:spain			0																									true	100g	100g			502	kcal	31	g	21	g	48	g	7.3	g			7.9	g	0.88	g	0.352	g	502	kcal																																		en:pastries	en:sugary-snacks,en:pastries		unknown	e	20	b	62	1	7620	-5	-15	1	0		App - yuka, Apps, app-elcoco, App - El CoCo
8480000829320		en				Croissant con crema de chocolate														375g				Hacendado	hacendado	Snacks, Sweet snacks, Sweet pastries and pies, Viennoiseries, Croissants, Filled croissants, Croissant filled with chocolate	en:snacks,en:sweet-snacks,en:sweet-pastries-and-pies,en:viennoiseries,en:croissants,en:filled-croissants,en:croissant-filled-with-chocolate			Romania, Spain	en:romania,en:spain	Hacendado	hacendado	0																										100g	100g			500	kcal	31	g	13	g	47	g	20	g	2.6	g	6.2	g	0.55	g	0.22	g	500	kcal																																		en:pastries	en:sugary-snacks,en:pastries		unknown	e	20	b	69	1	7602	-5	-15	1	0		App - yuka, Apps, App - El CoCo
2994874001004		es					Cruasán																	Carrefour	carrefour	Botanas, Snacks dulces, en:Sweet pastries and pies, Viennoiseries, Croissants	en:snacks,en:sweet-snacks,en:sweet-pastries-and-pies,en:viennoiseries,en:croissants			España	en:spain			0															harina de trigo, crema con cacao 25% ( azúcar, aceites grasas palma y girasol), cacao disgrasado en polvo 3,5%, almidon, emulgente lecitina de soja, pasta de avellanas, aromas y vainillina), margarina (grasa palma y aceites girasol y soja, agua, emulgente E471, sal, aromas, acidulante E330, antioxidantes E304 y E306, colorante E160e), agua, azúcar, levadura, sal, gluten de trigo, emulgente , dextrosa, antioxidante E300 y enzimas. &quot;Decorado en huevo pasteurizadocacahuete,						Huevos, Gluten, Frutos de cáscara, Soja	en:eggs,en:gluten,en:nuts,en:soybeans				100g	100g					20	g	5	g	20	g	10	g			2	g	4	g	1.6	g																																				en:pastries	en:sugary-snacks,en:pastries	4	en:4-ultra-processed-food-and-drink-products	unknown		b	69	1	7602	-5	-15	1	0		App - yuka, Apps
8002371007901		es					Croissant													252 g	42 g			Antonelli	antonelli	Botanas, Snacks dulces, en:Sweet pastries and pies, Viennoiseries, Croissants, Cruasanes rellenos	en:snacks,en:sweet-snacks,en:sweet-pastries-and-pies,en:viennoiseries,en:croissants,en:filled-croissants	Sin azúcares añadidos	en:no-added-sugar	España	en:spain			0																										100g	100g	1421	kJ			16	g	7.8	g	50	g	2.2	g	1.3	g	6	g	0.48	g	0.192	g	1421	kJ					19	g																												en:pastries	en:sugary-snacks,en:pastries		unknown	d	12	b	68	1	7602	-5	-15	1	0		App - yuka, Apps
8002371007918		es					Croissant de hojaldre relleno de chocolate sin azúcar añadido																	Antonelli	antonelli	Botanas, Snacks dulces, en:Sweet pastries and pies, Viennoiseries, Croissants, Cruasanes rellenos	en:snacks,en:sweet-snacks,en:sweet-pastries-and-pies,en:viennoiseries,en:croissants,en:filled-croissants	Sin azúcares añadidos	en:no-added-sugar	España	en:spain			0																										100g	100g			362	kcal	19	g	9.1	g	48	g	2.4	g			6.2	g	0.5	g	0.2	g	362	kcal																																		en:pastries	en:sugary-snacks,en:pastries		unknown	d	15	b	68	1	7602	-5	-15	1	0		App - yuka, Apps
8413585020745		es					Croissant relleno																	"bonÀrea"	bonarea	Botanas, Snacks dulces, Galletas y pasteles, en:Sweet pastries and pies, Pasteles, Viennoiseries, Croissants, Croissant de chocolate	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:sweet-pastries-and-pies,en:cakes,en:viennoiseries,en:croissants,en:chocolate-croissant			España	en:spain	"bonÀrea"	bonarea	0																										100g	100g			522	kcal	32	g	11.6	g	53.2	g	35.3	g			4	g	0.7	g	0.28	g	522	kcal																																		en:pastries	en:sugary-snacks,en:pastries		unknown	e	26	c	44	1	7730	-5	-15	1	0		App - elcoco, App - yuka, Apps, App - El CoCo
8436009678032		es					Croissant con medio baño de chocolate																	Peiron & Torrent	peiron-torrent	Botanas, Snacks dulces, en:Sweet pastries and pies, Viennoiseries, Croissants, en:Botanas, en:Croissant de chocolate, en:Pasteles, en:Snacks dulces	en:snacks,en:sweet-snacks,en:sweet-pastries-and-pies,en:viennoiseries,en:croissants,en:botanas,en:croissant-de-chocolate,en:pasteles,en:snacks-dulces			España	en:spain			0																										100g	100g			527	kcal	35.7	g	23	g	45.3	g	19.1	g			6.2	g	0.68	g	0.272	g	527	kcal																																		en:pastries	en:sugary-snacks,en:pastries		unknown	e	23	b	68	1	7602	-5	-15	1	0		App - yuka, Apps, App - elcoco, App - El CoCo
8480024766298		es					Croissants														36g			Alteza	alteza	Botanas, Snacks dulces, en:Sweet pastries and pies, Viennoiseries, Croissants	en:snacks,en:sweet-snacks,en:sweet-pastries-and-pies,en:viennoiseries,en:croissants			España	en:spain	Alteza	alteza	0															Harina de trigo, grasa de palma, azúcar, aceites vegetales (girasol, soja) en proporción variable, dextrosa, suero de leche en polvo, levadura, huevo, emulgentes: E-471 y E-472e, sal, proteinas de la leche, aromas, conservadores: E-282 y E-202, gluten de trigo, estabilizante: goma guar, colorante: carotenos y agente de tratamiento de la harina: ácido ascórbico.				Farinha de trigo, gordura de palma, açúcar, óleos vegetais (girassol, soja) em proporções variáveis, dextrose, soro de leite em pó, levedura, OVo, emulsionantes: E-471 e E-472e, sal, proteínas do leite aromas conservantes: E-282 e E-202, , estabilizador: goma de guar, glúten de trigo, corante: carotenos e agente de tratamento da farinha: ácido ascórbico. Pode conter vestigios de frutos de cascara rija, sementes de sésamo, soja e/ou produtos derivados.		Huevos, Gluten, Leche, Soja	en:eggs,en:gluten,en:milk,en:soybeans	Frutos de cáscara, Granos de sésamo, Soja	en:nuts,en:sesame-seeds,en:soybeans		100g	100g			466	kcal	28	g	14	g	46	g	12	g	1.7	g	6.7	g	0.85	g	0.34	g	466	kcal																																		en:pastries	en:sugary-snacks,en:pastries	4	en:4-ultra-processed-food-and-drink-products	e	19	c	58	1	7602	-5	-15	1	0	-10	App - yuka, Apps
8426765270670		es					Croissant																	Condis	condis	Botanas, Snacks dulces, en:Sweet pastries and pies, Viennoiseries, Croissants	en:snacks,en:sweet-snacks,en:sweet-pastries-and-pies,en:viennoiseries,en:croissants			España	en:spain			0																										100g	100g			469	kcal	28	g	14	g	47	g	12	g			6.8	g	0.7	g	0.28	g	469	kcal																																		en:pastries	en:sugary-snacks,en:pastries		unknown	e	20	b	68	1	7602	-5	-15	1	0		App - yuka, Apps, App - El CoCo
8413585021827		es					Croissant bañado																	Bonarea	bonarea	Botanas, Snacks dulces, Galletas y pasteles, en:Sweet pastries and pies, Pasteles, Viennoiseries, Croissants, Croissant de chocolate	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:sweet-pastries-and-pies,en:cakes,en:viennoiseries,en:croissants,en:chocolate-croissant			España	en:spain			0																										100g	100g			529	kcal	34.4	g	21.9	g	47.9	g	19.2	g			5.8	g	0.9	g	0.36	g	529	kcal																																		en:pastries	en:sugary-snacks,en:pastries		unknown	e	23	c	44	1	7730	-5	-15	1	0		App - elcoco, Apps, App - yuka, App - El CoCo
8410087123844		es					Croissants rellenos de cacao															Producto	es:producto			Botanas, Snacks dulces, Galletas y pasteles, en:Sweet pastries and pies, Pasteles, Viennoiseries, Croissants, Cruasanes rellenos, Cruasán relleno de chocolate	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:sweet-pastries-and-pies,en:cakes,en:viennoiseries,en:croissants,en:filled-croissants,en:croissant-filled-with-chocolate			España	en:spain			0																										100g	100g			484	kcal	29	g	13	g	49	g	25	g	2.1	g	5.6	g	0.63	g	0.252	g	484	kcal																																		en:pastries	en:sugary-snacks,en:pastries		unknown	e	21	b	68	1	7602	-5	-15	1	0		App - yuka, Apps, App - El CoCo
8480000827593		es					Croissants cacao													375 g				Hacendado,	hacendado	Botanas, Snacks dulces, en:Sweet pastries and pies, Viennoiseries, Croissants, en:Croissant de chocolate	en:snacks,en:sweet-snacks,en:sweet-pastries-and-pies,en:viennoiseries,en:croissants,en:croissant-de-chocolate			España	en:spain	Mercadona,Hacendado,	mercadona,hacendado	0																									true	100g	100g			484	kcal	31	g	13	g	44	g	23	g	2	g	6.3	g	2.6	g	1.04	g	484	kcal																																		en:pastries	en:sugary-snacks,en:pastries		unknown	e	29	b	68	1	7602	-5	-15	1	0		App - elcoco, App - yuka, Apps, App - El CoCo
