code	lc	product_name_ar	product_name_cs	product_name_de	product_name_en	product_name_es	product_name_fi	product_name_fr	product_name_it	product_name_nl	product_name_pt	generic_name_es	generic_name_fr	generic_name_pt	quantity	serving_size	packaging	packaging_tags	brands	brands_tags	brand_owner	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	periods_after_opening	periods_after_opening_tags	origins	origins_tags	origin_cs	manufacturing_places	manufacturing_places_tags	emb_codes	emb_codes_tags	ingredients_text_cs	ingredients_text_de	ingredients_text_en	ingredients_text_es	ingredients_text_fi	ingredients_text_fr	ingredients_text_it	ingredients_text_pt	allergens	allergens_tags	traces	traces_tags	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kcal_value	energy-kcal_unit	fat_value	fat_unit	saturated-fat_value	saturated-fat_unit	carbohydrates_value	carbohydrates_unit	sugars_value	sugars_unit	fiber_value	fiber_unit	proteins_value	proteins_unit	salt_value	salt_unit	sodium_value	sodium_unit	energy_value	energy_unit	fruits-vegetables-nuts_value	fruits-vegetables-nuts_unit	fruits-vegetables-nuts-dried_value	fruits-vegetables-nuts-dried_unit	packaging_1_number_of_units	packaging_1_shape	packaging_1_material	packaging_1_recycling	packaging_1_quantity_per_unit	packaging_1_weight_measured	packaging_2_number_of_units	packaging_2_shape	packaging_2_material	packaging_2_recycling	packaging_2_weight_measured	packaging_3_number_of_units	packaging_3_shape	packaging_3_material	packaging_3_recycling	packaging_3_weight_measured	packaging_4_number_of_units	packaging_4_shape	nutriscore_grade_producer	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_score	off:ecoscore_data.missing_key_data	off:ecoscore_data.agribalyse.code	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	off:ecoscore_data.adjustments.threatened_species.value	data_sources
8480010255270	es					Mini mojicón de chocolate													Eroski	eroski		Botanas, Snacks dulces, Galletas y pasteles, Pasteles, Muffins, Pasteles de chocolate, Magdalenas de chocolate	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:muffins,en:chocolate-cakes,en:chocolate-muffins	Sin grasas hidrogenadas, Nutriscore, Nutriscore D	en:no-hydrogenated-fats,en:nutriscore,en:nutriscore-grade-d	España	en:spain			0																							100g	100g			425	kcal	22	g	3.5	g	55	g	25	g			5.2	g	0.61	g	0.244	g	425	kcal																									en:biscuits-and-cakes	en:sugary-snacks,en:biscuits-and-cakes		unknown	d	15	d	27	1	23585	-5	-15	1	0		App - yuka, Apps
5060088707661	en		"Ovocno-oříšková raw tyčinka s borůvkami"			Nakd Blueberry Muffin		Blueberry muffin - Myrtilles				Barrita Arandanos	Barres tendre de fruits et noix, aux myrtilles		35 g	35 g	Plastic, Cardboard, Dry, Film, Sleeve	en:plastic,en:cardboard,en:dry,en:film,en:sleeve	Nakd	nakd	Lotus Bakeries	Plant-based foods and beverages, Plant-based foods, Snacks, Sweet snacks, Nuts and their products, Bars, Biscuits and cakes, Cakes, Cereal bars, Muffins, Fruit muffins, Fruits cereal bars, Nut bars, Blueberry muffins, fr:Barres aux fruits, fr:Barres de fruits & noix	en:plant-based-foods-and-beverages,en:plant-based-foods,en:snacks,en:sweet-snacks,en:nuts-and-their-products,en:bars,en:biscuits-and-cakes,en:cakes,en:cereal-bars,en:muffins,en:fruit-muffins,en:fruits-cereal-bars,en:nut-bars,en:blueberry-muffins,fr:barres-aux-fruits,fr:barres-de-fruits-noix	No gluten, Vegetarian, No preservatives, Source of fibre, Vegan, 100% natural, FSC, FSC Mix, Green Dot, Natural flavors, No added sugar, No artificial additives, No lactose, Without addition of dairy products	en:no-gluten,en:vegetarian,en:no-preservatives,en:source-of-fibre,en:vegan,en:100-natural,en:fsc,en:fsc-mix,en:green-dot,en:natural-flavors,en:no-added-sugar,en:no-artificial-additives,en:no-lactose,en:without-addition-of-dairy-products	Belgium, Czech Republic, France, Spain	en:belgium,en:czech-republic,en:france,en:spain	Carrefour,Carefour Market,E.Leclerc	carrefour,carefour-market,e-leclerc	0		6 months	en:6-months	Unspecified	en:unspecified	Datle nejsou z EU	Angleterre	angleterre	CNIK 3745 - 783	cnik-3745-783	"Datle (58%), kešu (15%), rozinky (15%), mandle (10%), borůvky (2%), přírodní aroma."		dates 58%, cashew nuts 15%, raisins 15%, almonds 10%, blue berries 2%, natural flavourings	Dátiles (58%), anacardos (15%), uvas pasas (15%), almendras (10%), arándanos (2%).		Dattes 59%, Raisins secs 15%, _Noix de cajou_ 14%, _Amandes_ 10%, Myrtilles Lyophilisées 1%, Arôme Naturel			Nuts	en:nuts	"Nuts, Peanuts, Soybeans, fr:Autres fruits à coques et petits morceaux de coquilles ou de noyaux"	en:nuts,en:peanuts,en:soybeans,fr:autres-fruits-a-coques-et-petits-morceaux-de-coquilles-ou-de-noyaux	100g	100g	1547	kJ	368	kcal	11	g	1.7	g	56	g	49	g	9.5	g	6.6	g	0.02	g	0.008	g	1547	kJ	99	g	99	g	4	en:film	en:plastic	en:recycle			1	en:sleeve	en:fsc-cardboard	en:recycle			en:packaging		en:recycle				b	https://nakd.fr/produits/raw-barres/myrtilles	en:biscuits-and-cakes	en:sugary-snacks,en:biscuits-and-cakes	4	en:4-ultra-processed-food-and-drink-products	b	1	c	52		23950	-5	-12	0	0		App - yuka, Apps, App - El CoCo, App - Open Food Facts, App - smoothie-openfoodfacts, Producers, Producer - lotus-bakeries
8480010194326	es					Magdalenas con pepitas de chocolate													Eroski	eroski		Botanas, Snacks dulces, en:Specific products, Galletas y pasteles, en:Products for specific diets, Pasteles, Productos sin gluten, Muffins, Pasteles de chocolate, en:Chocolate chip muffins	en:snacks,en:sweet-snacks,en:specific-products,en:biscuits-and-cakes,en:products-for-specific-diets,en:cakes,en:products-without-gluten,en:muffins,en:chocolate-cakes,en:chocolate-chip-muffins	Nutriscore, Nutriscore D	en:nutriscore,en:nutriscore-grade-d	España	en:spain			0																							100g	100g			444	kcal	27	g	5.5	g	47	g	29	g			3.5	g	0.5	g	0.2	g	444	kcal																									en:biscuits-and-cakes	en:sugary-snacks,en:biscuits-and-cakes		unknown	d	18	d	27	1	23585	-5	-15	1	0		App - yuka, Apps
4056489023647	fi						Mustikka muffinsit	Muffins aux myrtilles							4x90 g, 360 g		Muovi	en:plastic	Confiserie Firenze	confiserie-firenze		Naposteltavat, Makeat naposteltavat, Keksit ja kakut, Kakku, Muffinit, Hedelmämuffinit, Mustikkamuffinit, en:Biscuits et gâteaux, en:Gâteaux	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:muffins,en:fruit-muffins,en:blueberry-muffins,en:biscuits-et-gateaux,en:gateaux	en:Vegetarisch	en:vegetarisch	Suomi, Espanja, en:francia	en:finland,en:spain,en:francia	Lidl	lidl	0															Vehnäjauho, sokeri, rapsiöljy, kananmuna, 10 % mustikka (alkuperä: muu kuin EU), rasvattomasta maidosta valmistettu jogurtti, kosteudensäilyttäjä (glyseroli), nostatusaineet (difosfaatit, natriumkarbonaatit), emulgointiaineet (rasvahappojen monoglyseridit, rasvahappojen diglyseridit, natriumstearoyyli-2-laktylaatti), happamuudensäätöaine (natriumasetaatit), happo (sitruunahappo), suola, sakeuttamisaine (ksantaanikumi), luontainen aromi. Saattaa sisältää pieniä määriä soijaa, pähkinää ja maapähkinää.	"Farine de blé, sucre, huile de colza, œuf* entier, 10% myrtilles, lait fermenté, humectant : glycérol ; poudres à lever : diphosphates, carbonates de sodium; émulsifiants : mono - et diglycérides d'acides gras, stéaroyl-2-lactylate de sodium ; correcteur d'acidité : acétates de sodium; acidifiant : acide citrique ; sel, épaississant: gomme xanthane; arôme naturel.

 *issu de poules élevées au sol."			Munat, Gluteeni	en:eggs,en:gluten	Pähkinät, Maapähkinät, Soija	en:nuts,en:peanuts,en:soybeans	100g	100g	1688	kJ	403	kcal	20.6	g	2.1	g	48.4	g	24	g			5.5	g	1.2	g	0.48	g	1688	kJ					1	fi:Rasia	en:rpet-recycled-polyethylene-terephthalate	fi:Muovinkeräys		14.35	1	en:tray	en:non-corrugated-cardboard	fi:Kartonkikeräys	8.93	1	fi:Kalvo	en:pa-polyamide	fi:Muovinkeräys	6.85	4	fi:Paperi			en:biscuits-and-cakes	en:sugary-snacks,en:biscuits-and-cakes	4	en:4-ultra-processed-food-and-drink-products	d	17	c	48		23950	-5	-15	1	0		App - yuka, Apps, App - elcoco, App - El CoCo, App - Open Food Facts, App - smoothie-openfoodfacts
40879895	en			Muffins Chocolate	Muffins tout choco			Muffins au chocolat		Choco muffins					1pak	90g	Plastic, Paper, Bag, Cardboard, Sheet, fr:Feuille en carton, fr:Feuille en papier, fr:Sachet en plastique	en:plastic,en:paper,en:bag,en:cardboard,en:sheet,fr:feuille-en-carton,fr:feuille-en-papier,fr:sachet-en-plastique	Mcennedy,Lidl	mcennedy,lidl		Snacks, Sweet snacks, Biscuits and cakes, Cakes, Muffins, Chocolate cakes, Chocolate muffins	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:muffins,en:chocolate-cakes,en:chocolate-muffins	Sustainable farming, Made in Germany, Rainforest Alliance, UTZ Certified, UTZ Certified Cocoa	en:sustainable-farming,en:made-in-germany,en:rainforest-alliance,en:utz-certified,en:utz-certified-cocoa	France, Germany, Spain	en:france,en:germany,en:spain	Lidl	lidl	0							Allemagne	allemagne					sugar, wheat flour, rapeseed oil, egg, chocolate chips (sugar, cocoa paste, cocoa butter, lean cocoa powder, emulsifier: lecithins (sunflower)), humidecting glycerol, water, 2% lean cocoa powder, wheat starch, baking powders, diphosphates, sodium carbonates, rice flour, emulsifiers: mono - and fatty acid diglycerides, stéaroyl-2-lactylate sodium, sodium ,' natural aroma, acidifying: citric acid, cooking salt, thickening xanthan gum, cocoa chocolate chips:  40% minimum, from ground-raised hens, vegetable, may contain traces of milk, soy, frui, nuts and peanuts,			"Sucre, farine de blé, huile de colza, œuf entier, 11% pépites de chocolat (sucre, pâte de cacao, beurre de cacao, cacao maigre en poudre, émulsifiant : lécithines), humectant : glycérol ; eau, 2% cacao maigre en poudre, amidon de blé, farine de riz, émulsifiants : mono - et diglycérides d'acides gras, stéaroyl-2-lactylate de sodium ; poudres à lever : diphosphates, carbonates de sodium ; correcteur d'acidité : acétates de sodium ; arôme naturel, acidifiant : acide citrique ; sel de cuisine, épaississant : gomme xanthane."			Eggs, Gluten	en:eggs,en:gluten	Milk, Nuts, Peanuts, Soybeans	en:milk,en:nuts,en:peanuts,en:soybeans	100g	100g			409	kcal	21.1	g	4	g	47.8	g	26.9	g			5.7	g	1.15	g	0.46	g	409	kcal						en:bag	en:plastic					en:sheet	en:cardboard				en:sheet	en:paper							en:biscuits-and-cakes	en:sugary-snacks,en:biscuits-and-cakes	4	en:4-ultra-processed-food-and-drink-products	d	18	c	52		23585	-5	-10	1	20		App - yuka, Apps, App - elcoco, App - El CoCo, App - InFood, App - Open Food Facts, App - Speisekammer
2968558002656	es					Muffins choco									4 x 65 g				Schar	schar		Botanas, Snacks dulces, Galletas y pasteles, Pasteles, Muffins	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:muffins	Sin gluten, Sin lactosa	en:no-gluten,en:no-lactose	España	en:spain			0																							100g	100g			411	kcal	20	g	3.9000000953674	g	51	g	27	g			5.3000001907349	g	0.76999998092651	g	0.307999992370604	g	411	kcal																									en:biscuits-and-cakes	en:sugary-snacks,en:biscuits-and-cakes		unknown	d	16	unknown		1		-5	-15	1	0		App - yuka, Apps
8433329128582	es					Minimagdalenas artesanas con pepitas de chocolate													El Corte Inglés	el-corte-ingles		Botanas, Snacks dulces, Galletas y pasteles, Pasteles, Muffins, en:Chocolate chip muffins	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:muffins,en:chocolate-chip-muffins	Sin lactosa	en:no-lactose	España	en:spain	El Corte Inglés	el-corte-ingles	0																							100g	100g	1843	kJ	441	kcal	24	g	5.1	g	51	g	23	g			5.4	g	0.55	g	0.22	g	1843	kJ																									en:biscuits-and-cakes	en:sugary-snacks,en:biscuits-and-cakes		unknown	d	17	unknown		1		-5	-15	1	0		App - yuka, Apps
8410087291741	es					Muffins cacao con pepitas de chocolate										75 g			Dulcesol,Dulcesol Black	dulcesol,dulcesol-black		Botanas, Snacks dulces, Galletas y pasteles, Pasteles, Muffins	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:muffins			España	en:spain			0														Harina de _trigo_, aceite de girasol, azúcar, _huevo_, pepitas de chocolate 7% (azúcar, pasta de cacao, manteca de cacao, emulgente (lecitina de _soja_), aroma, cacao 44 %, humectantes (E420, E422), gasificantes (E500, E334 y E450), cacao desgrasado en polvo 1 %, _leche_ en polvo, inulina, fibra de avena, aromas, espesante (E412), sal.					Huevos, Gluten, Leche, Soja	en:eggs,en:gluten,en:milk,en:soybeans	Frutos de cáscara, Granos de sésamo	en:nuts,en:sesame-seeds	100g	serving	1925	kJ	461	kcal	26	g	1.1	g	51	g	27	g	1.6	g	4.9	g	1.1	g	0.44	g	1925	kJ																									en:biscuits-and-cakes	en:sugary-snacks,en:biscuits-and-cakes	4	en:4-ultra-processed-food-and-drink-products	d	14	unknown		1		-5	-15	1	0		App - yuka, Apps, App - El CoCo
8437022276045	es					Mini magdalenas rellenas de chocolate y avellanas									200 g				Abuela Manuela	abuela-manuela		Botanas, Snacks dulces, Galletas y pasteles, Pasteles, Muffins, Pasteles de chocolate, Magdalenas, Magdalenas de chocolate	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:muffins,en:chocolate-cakes,en:madeleines,en:chocolate-muffins	Vegetariano, Sin aceite de palma, Sin ácidos grasos trans	en:vegetarian,en:no-palm-oil,en:no-trans-fat	España	en:spain			0														"Harina de TRICO, azúcar, aceite de girasol, HUEVO pasteurizado, Crema de chocolatey AVELLANA 15% [jarabe de glucosay fructosa, azúcar, agua, chocolate negro 8% (pasta de cacao, azúcar, manteca de cacao, emulgente (lecitina de SOJA), aroma natural], estabilizante (glicerina), almidón modificado, dextrosa, polvo de cacao desgrasado, pasta de AVELLANA, espesantes (celulosa microcristalina, carboximetilcelulosa de sodio), emulgente (monoy diglicéridos de ácidos grasos), sal, aromas, corrector de acidez (ácido tartárico), conservante (sorbato potásico)], humectante (glicerina, sorbitol), jarabe de glucosay fructosa, gasificantes (pirofosfato ácido de sodio, bicarbonato sódico), conservante (ácido sórbico), acidulante (ácido láctico), aroma, espesante (goma xantana). Contiene GLUTEN, HUEVO, FRUTOS DE CASCARA, SOJA. Puede contener trazas de otros FRUTOS DE CÁSCARA LECHE."					Huevos, Gluten, Frutos de cáscara, Soja	en:eggs,en:gluten,en:nuts,en:soybeans			100g	100g	1780	kJ	425	kcal	21.6	g	3.58	g	54.98	g	25	g			5.28	g	0.6	g	0.24	g	1780	kJ																									en:biscuits-and-cakes	en:sugary-snacks,en:biscuits-and-cakes	4	en:4-ultra-processed-food-and-drink-products	d	15	c	58	1	24632	-5	-15	1	0		App - yuka, Apps
5602349000243	es					Magdalenas de chocolate																Botanas, Snacks dulces, Galletas y pasteles, Pasteles, Muffins, Pasteles de chocolate, Magdalenas, Magdalenas de chocolate	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:muffins,en:chocolate-cakes,en:madeleines,en:chocolate-muffins			España	en:spain			0																							100g	100g																	1.2	g	0.48	g																											en:biscuits-and-cakes	en:sugary-snacks,en:biscuits-and-cakes		unknown	unknown		c	58	1	24632	-5	-15	1	0		App - yuka, Apps
