code	lc	product_name_ca	product_name_de	product_name_en	product_name_es	product_name_fi	product_name_fr	product_name_it	product_name_nl	product_name_pt	product_name_sv	product_name_tr	generic_name_ca	generic_name_de	generic_name_en	generic_name_es	generic_name_fr	generic_name_nl	generic_name_pt	quantity	serving_size	packaging	packaging_tags	brands	brands_tags	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	origin_es	manufacturing_places	manufacturing_places_tags	emb_codes	emb_codes_tags	ingredients_text_ca	ingredients_text_de	ingredients_text_en	ingredients_text_es	ingredients_text_fi	ingredients_text_fr	ingredients_text_it	ingredients_text_nl	ingredients_text_pt	ingredients_text_ro	ingredients_text_sv	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kj_prepared_value	energy-kj_prepared_unit	energy-kcal_value	energy-kcal_unit	energy-kcal_prepared_value	energy-kcal_prepared_unit	fat_value	fat_unit	fat_prepared_value	fat_prepared_unit	saturated-fat_value	saturated-fat_unit	saturated-fat_prepared_value	saturated-fat_prepared_unit	carbohydrates_value	carbohydrates_unit	carbohydrates_prepared_value	carbohydrates_prepared_unit	sugars_value	sugars_unit	sugars_prepared_value	sugars_prepared_unit	fiber_value	fiber_unit	proteins_value	proteins_unit	proteins_prepared_value	proteins_prepared_unit	salt_value	salt_unit	salt_prepared_value	salt_prepared_unit	sodium_value	sodium_unit	sodium_prepared_value	sodium_prepared_unit	alcohol_value	alcohol_unit	energy_value	energy_unit	energy_prepared_value	energy_prepared_unit	monounsaturated-fat_value	monounsaturated-fat_unit	polyunsaturated-fat_value	polyunsaturated-fat_unit	lactose_value	lactose_unit	lactose_prepared_value	lactose_prepared_unit	vitamin-c_value	vitamin-c_unit	potassium_value	potassium_unit	phosphorus_value	phosphorus_unit	zinc_value	zinc_unit	fruits-vegetables-nuts_value	fruits-vegetables-nuts_unit	packaging_1_number_of_units	packaging_1_shape	packaging_1_material	packaging_1_recycling	packaging_2_number_of_units	packaging_2_shape	packaging_2_material	packaging_2_recycling	packaging_3_number_of_units	packaging_3_shape	packaging_3_material	packaging_4_material	packaging_5_material	nutriscore_score_producer	nutriscore_grade_producer	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_score	off:ecoscore_data.missing_key_data	off:ecoscore_data.agribalyse.code	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	sources_fields:org-gs1:gln	sources_fields:org-gs1:gpcCategoryCode	sources_fields:org-gs1:gpcCategoryName	sources_fields:org-gs1:isAllergenRelevantDataProvided	sources_fields:org-gs1:lastChangeDateTime	sources_fields:org-gs1:partyName	sources_fields:org-gs1:productionVariantDescription	sources_fields:org-gs1:publicationDateTime	data_sources
8410320398244	fr			Jamón Cocido	Jamon Cocido															75 g.				Campofrío	campofrio	Viandes et dérivés, Charcuteries, Jambons, Jambon cuit choix découenné dégraissé	en:meats-and-their-products,en:prepared-meats,en:hams,en:cooked-ham-choice-rind-less-and-fatless	Point Vert, Sans lactose	en:green-dot,en:no-lactose	Espagne	en:spain			0												Jamón de cerdo (75%), agua, aromas, sal, dextrosa, estabilizantes (E450, E451, E407a, E412), azúcar, antioxidante (E316) y conservadores (E262, E250).													100g	100g	426	kJ			101	kcal			3	g			1.2	g			1.5	g			1.5	g			0	g	17	g			2	g			0.8	g					426	kJ																																					en:processed-meat	en:fish-meat-eggs,en:processed-meat	4	en:4-ultra-processed-food-and-drink-products	c	5	e	12	1	28913	-5	-15	1	0									App - smoothie-openfoodfacts, Apps
8480000603296	es				Jamón cocido															200 g				Hacendado	hacendado	Productos a base de carne, Embutidos, Jamón, Jamón cocido, Productos cárnicos españoles	en:meats-and-their-products,en:prepared-meats,en:hams,en:white-hams,en:spanish-meat-products	Sin gluten, Punto Verde, Sin lactosa	en:no-gluten,en:green-dot,en:no-lactose	España	en:spain	Mercadona	mercadona	0		España	en:spain									Jamón (85%), agua, sal jarabe de glucosa, estabilizantes (E-451, E-407), antioxidante (ascorbato sódicol. especias, aromas, conservadores (acetato potásico, nitrito sódico). Abrir 5 minutos antes de servir.													100g	100g	424	kJ			101.3	kcal			2.5	g			0.96	g			0.9	g			0.9	g			0	g	18.6	g			1.9	g			0.76	g					424	kJ																																					en:processed-meat	en:fish-meat-eggs,en:processed-meat	4	en:4-ultra-processed-food-and-drink-products	c	4	d	20	1	28925	3	-15	1	0									App - Yuka, Apps, App - smoothie-openfoodfacts
8435324003727	es				Jamón Serrano															2 x 120 g				Jamcal	jamcal	Productos a base de carne, Embutidos, Jamón, Jamón de país, Jamones secos, Productos cárnicos españoles, Jamón Serrano	en:meats-and-their-products,en:prepared-meats,en:hams,en:cured-hams,en:dried-hams,en:spanish-meat-products,en:serrano-ham			España	en:spain	Mercadona	mercadona	0					Calamocha	calamocha						jamón de cerdo, sal, azúcar, conservadores (E-250 y E-252) y antioxidantes (E-301)													100g	100g					272	kcal			12.800000190735	g			6.4000000953674	g			1	g			0.5	g					29.799999237061	g			4.09000025	g			1.6360001	g					272	kcal																																					en:processed-meat	en:fish-meat-eggs,en:processed-meat	3	en:3-processed-foods	e	19	e	-5	1	28845	3	-15	1	0									App - yuka, Apps, App - El CoCo, App - smoothie-openfoodfacts
8410843137092	es				Jamón cocido extra																			Elpozo	elpozo	Productos a base de carne, Carnes, Embutidos, Jamón, Jamón cocido	en:meats-and-their-products,en:meats,en:prepared-meats,en:hams,en:white-hams	Bajo o sin grasas, Bajo en grasas, Sin gluten, Punto Verde, Sin potenciadores del sabor	en:low-or-no-fat,en:low-fat,en:no-gluten,en:green-dot,en:no-flavour-enhancer	España	en:spain			0																									100g	100g	412.1	kJ			97.7	kcal			2.5	g			1	g			0.3	g			0.3	g					18.5	g			1.9	g			0.76	g					412.1	kJ																																					en:processed-meat	en:fish-meat-eggs,en:processed-meat		unknown	c	4	e	12	1	28925	-5	-15	1	0									App - yuka, Apps
8410843129912	es				Jamón cocido															2x150g				Elpozo	elpozo	Productos a base de carne, Carnes, Embutidos, Jamón, Jamón cocido	en:meats-and-their-products,en:meats,en:prepared-meats,en:hams,en:white-hams	Bajo o sin grasas, Bajo en grasas, Sin potenciadores del sabor	en:low-or-no-fat,en:low-fat,en:no-flavour-enhancer	España	en:spain	Alcampo	alcampo	0																									100g	100g					97	kcal			2.5	g			1	g			0.30000001192093	g			0.30000001192093	g					18.5	g			1.8999999761581	g			0.75999999046324	g					97	kcal																																					en:processed-meat	en:fish-meat-eggs,en:processed-meat		unknown	c	4	e	12	1	28925	-5	-15	1	0									App - yuka, Apps, App - smoothie-openfoodfacts
8410320031332	es				Finissimas, jamón cocido extra		Finíssimas jamón cocido extra																	Campofrío	campofrio	Productos a base de carne, Carnes, Embutidos, Jamón, Jamón cocido, fr:Charcuteries cuites	en:meats-and-their-products,en:meats,en:prepared-meats,en:hams,en:white-hams,fr:charcuteries-cuites	Sin gluten, Sin lactosa	en:no-gluten,en:no-lactose	España	en:spain			0												Jamón de cerdo (82%), agua, aromas, dextrosa, sal, estabilizantes (e451, e407, e262, e508, e412), antioxidante (e316), y conservador (e250).													100g	100g					91	kcal			1.5	g			0.6	g			1.3	g			1.3	g					18	g			2.1	g			0.84	g					91	kcal																																					en:processed-meat	en:fish-meat-eggs,en:processed-meat	4	en:4-ultra-processed-food-and-drink-products	c	5	e	12	1	28925	-5	-15	1	0									App - yuka, Apps
8480012034644	es				Jamón cocido finas lonchas															200 g	30 g			Eliges	eliges	Productos a base de carne, Carnes, Embutidos, Jamón, Jamón cocido	en:meats-and-their-products,en:meats,en:prepared-meats,en:hams,en:white-hams	Bajo o sin grasas, Bajo en grasas, Sin gluten, Punto Verde	en:low-or-no-fat,en:low-fat,en:no-gluten,en:green-dot	España	en:spain			0																									100g	100g	423	kJ			100	kcal			2	g			0.7	g			2.5	g			1.1	g					18	g			1.9	g			0.76	g					423	kJ																																					en:processed-meat	en:fish-meat-eggs,en:processed-meat		unknown	c	4	e	12	1	28925	-5	-15	1	0									App - yuka, Apps
8410320011488	es				Jamón Curado		Jamón Curado													96 g.				Navidul	navidul	Productos a base de carne, Carnes, Embutidos, Jamón, Jamón de país, Jamones secos, Productos cárnicos españoles, Jamón Serrano, en:raw-cured-ham	en:meats-and-their-products,en:meats,en:prepared-meats,en:hams,en:cured-hams,en:dried-hams,en:spanish-meat-products,en:serrano-ham,en:raw-cured-ham			Francia, España	en:france,en:spain			0																									100g	100g					212	kcal			10	g			3.8	g			0.5	g			0.5	g					30	g			5	g			2	g					212	kcal																																					en:processed-meat	en:fish-meat-eggs,en:processed-meat		unknown	d	15	e	-5	1	28845	3	-15	1	0									App - elcoco, App - yuka, Apps, App - El CoCo, App - smoothie-openfoodfacts
8413080004110	es				Jamón cocido lonchas															450 g				Gourmet	gourmet	Productos a base de carne, Carnes, Embutidos, Jamón, Jamón cocido	en:meats-and-their-products,en:meats,en:prepared-meats,en:hams,en:white-hams	Hecho en España, Sin lactosa	en:made-in-spain,en:no-lactose	España	en:spain			0																									100g	100g					105	kcal			3	g			0.9	g			1.5	g			1.5	g					18	g			2	g			0.8	g					105	kcal																																					en:processed-meat	en:fish-meat-eggs,en:processed-meat		unknown	c	4	e	12	1	28925	-5	-15	1	0									App - yuka, Apps
8480012013014	es				Jamón cocido																			Eliges	eliges	Productos a base de carne, Carnes, Embutidos, Jamón, Jamón cocido	en:meats-and-their-products,en:meats,en:prepared-meats,en:hams,en:white-hams	Sin gluten, Sin lactosa	en:no-gluten,en:no-lactose	España	en:spain			0							ES 10.13604/GE EC	es-10-13604-ge-ec				"Jamón de cerdo (74%), agua, antioxidantes (E-316, É-326), sal, estabilizantes (E-407, E-451), dextrosa, azúcar, conservador (E-250)."													100g	100g	419	kJ			100	kcal			3.2	g			1.1	g			0.7	g			0.5	g					17	g			2.5	g			1	g					419	kJ																																					en:processed-meat	en:fish-meat-eggs,en:processed-meat	4	en:4-ultra-processed-food-and-drink-products	d	12	e	12	1	28925	-5	-15	1	0									App - yuka, Apps
