code	producer_product_id	lc	product_name_ca	product_name_de	product_name_en	product_name_es	product_name_fr	product_name_gl	product_name_it	product_name_nb	product_name_nl	product_name_pt	abbreviated_product_name_es	generic_name_es	generic_name_fr	generic_name_nl	generic_name_pt	quantity	serving_size	packaging	packaging_tags	brands	brands_tags	brand_owner	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	origin_ca	origin_es	origin_fr	origin_nl	origin_pt	manufacturing_places	manufacturing_places_tags	producer_fr	producer_nl	emb_codes	emb_codes_tags	ingredients_text_ca	ingredients_text_de	ingredients_text_en	ingredients_text_es	ingredients_text_fr	ingredients_text_it	ingredients_text_nb	ingredients_text_pt	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kcal_value	energy-kcal_unit	fat_value	fat_unit	saturated-fat_value	saturated-fat_unit	carbohydrates_value	carbohydrates_unit	sugars_value	sugars_unit	fiber_value	fiber_unit	proteins_value	proteins_unit	salt_value	salt_unit	sodium_value	sodium_unit	alcohol_value	alcohol_unit	energy_value	energy_unit	monounsaturated-fat_value	monounsaturated-fat_unit	polyunsaturated-fat_value	polyunsaturated-fat_unit	starch_value	starch_unit	polyols_value	polyols_unit	vitamin-c_value	vitamin-c_unit	vitamin-pp_value	vitamin-pp_unit	vitamin-b6_value	vitamin-b6_unit	potassium_value	potassium_unit	calcium_value	calcium_unit	phosphorus_value	phosphorus_unit	iron_value	iron_unit	magnesium_value	magnesium_unit	fruits-vegetables-nuts_value	fruits-vegetables-nuts_unit	packaging_1_number_of_units	packaging_1_shape	packaging_1_material	packaging_1_recycling	packaging_1_quantity_per_unit	packaging_1_weight_measured	packaging_2_number_of_units	packaging_2_shape	packaging_2_material	packaging_2_recycling	packaging_2_quantity_per_unit	conservation_conditions_fr	conservation_conditions_nl	customer_service_fr	customer_service_nl	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_score	off:ecoscore_data.missing_key_data	off:ecoscore_data.agribalyse.code	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	sources_fields:org-database-usda:available_date	sources_fields:org-database-usda:fdc_category	sources_fields:org-database-usda:fdc_data_source	sources_fields:org-database-usda:fdc_id	sources_fields:org-database-usda:modified_date	sources_fields:org-database-usda:publication_date	data_sources
8428919405297		fr					Miel															luna de miel	luna-de-miel		"Petit-déjeuners, Produits à tartiner, Produits à tartiner sucrés, Produits de la ruche, Produits d'élevages, Édulcorants, Miels"	en:breakfasts,en:spreads,en:sweet-spreads,en:bee-products,en:farming-products,en:sweeteners,en:honeys			France, Espagne	en:france,en:spain			0																												100g	100g																																																																			en:sweets	en:sugary-snacks,en:sweets	2	en:2-processed-culinary-ingredients	unknown		b	72	1	31008	-5	-15	1	0							App - yuka, Apps, App - El CoCo
8436004376407		es				Miel de Romero Cruda												500g				Naturval	naturval		Desayunos, Untables, Untables dulces, Productos apícolas, Productos agrícolas, Endulzantes, Mieles, Mieles de romero	en:breakfasts,en:spreads,en:sweet-spreads,en:bee-products,en:farming-products,en:sweeteners,en:honeys,en:rosemary-honeys			España	en:spain	La Petite Planèthé	la-petite-planethe	0																												100g	100g																																																																			en:sweets	en:sugary-snacks,en:sweets	2	en:2-processed-culinary-ingredients	unknown		b	72	1	31008	-5	-15	1	0							App - yuka, Apps, App - smoothie-openfoodfacts
0084898900147		es																							Desayunos, Untables, Untables dulces, Productos apícolas, Productos agrícolas, Endulzantes, Mieles, Mieles de eucaliptus	en:breakfasts,en:spreads,en:sweet-spreads,en:bee-products,en:farming-products,en:sweeteners,en:honeys,en:eucalyptus-honeys			España	en:spain			0																												100g	100g																																																																			en:sweets	en:sugary-snacks,en:sweets	2	en:2-processed-culinary-ingredients	unknown		b	72	1	31008	-5	-15	1	0							App - smoothie-openfoodfacts, Apps
20908089		es				Miel de flores						Mel de flores		Miel de flores			Mel de flores	250 g				Maribel	maribel		Desayunos, Untables, Untables dulces, Productos apícolas, Productos agrícolas, Endulzantes, Mieles, Mieles de flores, Mieles liquidas	en:breakfasts,en:spreads,en:sweet-spreads,en:bee-products,en:farming-products,en:sweeteners,en:honeys,en:flower-honeys,en:liquid-honeys	No recomendado para ciertas personas, Punto Verde, No apto para niños menores de 1 año, pt:Ecoponto amarelo	en:not-advised-for-specific-people,en:green-dot,en:not-suited-for-children-under-1-years,pt:ecoponto-amarelo	Portugal, España	en:portugal,en:spain	Lidl	lidl	0					Mezcla de mieles originarias y no originarias de la UE			Mistura de méis UE e não UE	Deutschland	deutschland															en:None	en:none	on	100g	100g																																																																			en:sweets	en:sugary-snacks,en:sweets	2	en:2-processed-culinary-ingredients	unknown		b	72	1	31008	-5	-15	1	0							App - yuka, Apps
8480013104506		es				Miel Mil flores						Miel Mil flores		Miel de flores			Mel de flores	500 g				Spar	spar		Desayunos, Untables, Untables dulces, Productos apícolas, Productos agrícolas, Endulzantes, Mieles, Mieles de flores	en:breakfasts,en:spreads,en:sweet-spreads,en:bee-products,en:farming-products,en:sweeteners,en:honeys,en:flower-honeys	No recomendado para ciertas personas, Punto Verde, No apto para niños menores de 1 año, Recicla amarillo	en:not-advised-for-specific-people,en:green-dot,en:not-suited-for-children-under-1-years,es:recicla-amarillo	España	en:spain	Spar	spar	0					Mezcla de mieles originarias y no originarias de la UE				España	espana			ES 23.00005/CS CE	es-23-00005-cs-ec				100% miel de flores.							en:None	en:none		100g	100g	1404	kJ	330	kcal	0	g	0	g	82	g	72	g			0.6	g	0.02	g	0.008	g			1404	kJ																																											en:sweets	en:sugary-snacks,en:sweets	2	en:2-processed-culinary-ingredients	d	14	b	72	1	31008	-5	-15	1	0							App - yuka, Apps, app-elcoco, App - El CoCo
5601312045342		pt										Mel de Flores					Mel de Flores	500 g				Continente,SONAE	continente,sonae		Pequenos alomoços, Produtos para barrar, Doces para barrar, Produtos des abelhas, Produtos agrícolas, Adoçantes, Méis, Meles de flores	en:breakfasts,en:spreads,en:sweet-spreads,en:bee-products,en:farming-products,en:sweeteners,en:honeys,en:flower-honeys	Não recomendado para pessoas específicas, Ponto Verde, Não adequado para crianças menores de 1 ano, Ecoponto verde	en:not-advised-for-specific-people,en:green-dot,en:not-suited-for-children-under-1-years,pt:ecoponto-verde	Portugal, Espanha	en:portugal,en:spain	Continente	continente	0								Mistura de méis UE e não UE	España	espana			ES 23.00005/CS CE	es-23-00005-cs-ec											en:None	en:none		100g	100g	1404	kJ	330	kcal	0	g	0	g	82	g	72	g			0.6	g	0.02	g	0.008	g			1404	kJ																											1	en:pouch-flask	en:clear-glass	en:recycle-in-glass-bin												https://www.continente.pt/produto/mel-mil-flores-continente-2193532.html	en:sweets	en:sugary-snacks,en:sweets	2	en:2-processed-culinary-ingredients	d	14	a	85		31008	-5	-2	0	0							App - yuka, Apps, App - InFood, App - Open Food Facts
8480017083890		es				Miel de flores						Mel de flores		Miel de flores			Mel de flores	500 g				Dia	dia		Desayunos, Untables, Untables dulces, Productos apícolas, Productos agrícolas, Endulzantes, Mieles, Mieles de flores	en:breakfasts,en:spreads,en:sweet-spreads,en:bee-products,en:farming-products,en:sweeteners,en:honeys,en:flower-honeys	No recomendado para ciertas personas, Punto Verde, No apto para niños menores de 1 año	en:not-advised-for-specific-people,en:green-dot,en:not-suited-for-children-under-1-years	Portugal, España	en:portugal,en:spain	Dia,Minipreço	dia,minipreco	0					Mezcla de mieles originarias y no originarias de la UE			Mistura de méis UE e não UE	España	espana			ES 23.00545/BU CE	es-23-00545-bu-ec											en:None	en:none		100g	100g	1380	kJ	325	kcal	0	g	0	g	80.8	g	78	g			0.4	g	0	g	0	g			1380	kJ																																											en:sweets	en:sugary-snacks,en:sweets	2	en:2-processed-culinary-ingredients	d	14	b	72	1	31008	-5	-15	1	0							App - yuka, Apps
8414807500441		es				Miel de mil flores												1 kg				Consum	consum		Desayunos, Untables, Untables dulces, Productos apícolas, Productos agrícolas, Endulzantes, Mieles, en:Desayunos, en:Endulzantes, en:Mieles, en:Mieles de flores, en:Productos agrícolas, en:Productos apícolas, en:Untables, en:Untables dulces	en:breakfasts,en:spreads,en:sweet-spreads,en:bee-products,en:farming-products,en:sweeteners,en:honeys,en:desayunos,en:endulzantes,en:mieles,en:mieles-de-flores,en:productos-agricolas,en:productos-apicolas,en:untables,en:untables-dulces	Sin gluten, Punto Verde	en:no-gluten,en:green-dot	España	en:spain	Consum	consum	0		en:Mezcla, en:UE/no UE	en:mezcla,en:ue-no-ue										ES 23.02728/V EC	es-23-02728-v-ec														100g	100g	1411	kJ	332	kcal	0	g	0	g	83	g	74.3	g	0	g	0	g	0	g	0	g			1411	kJ																																											en:sweets	en:sugary-snacks,en:sweets	2	en:2-processed-culinary-ingredients	d	14	b	72	1	31008	-5	-15	1	0							App - elcoco, App - yuka, Apps, App - El CoCo, App - smoothie-openfoodfacts
8422410593262		es																	500g						Desayunos, Untables, Untables dulces, Productos apícolas, Productos agrícolas, Endulzantes, Mieles	en:breakfasts,en:spreads,en:sweet-spreads,en:bee-products,en:farming-products,en:sweeteners,en:honeys	Ecológico, Ecológico UE, ES-ECO-020-CV	en:organic,en:eu-organic,en:es-eco-020-cv	España	en:spain	Bonpreu	bonpreu	0																												100g	100g	1404	kJ	330	kcal	0	g	0	g	82	g	72	g	0	g	0.6	g	0.02	g	0.008	g			1404	kJ																																											en:sweets	en:sugary-snacks,en:sweets	2	en:2-processed-culinary-ingredients	d	14	b	79	1	31008	-5	-15	1	15							App - smoothie-openfoodfacts, Apps
8411882009166		es				100% Miel de romero crema																Apiterapia	apiterapia		Desayunos, Untables, Untables dulces, Productos apícolas, Productos agrícolas, Endulzantes, Mieles, Mieles de romero	en:breakfasts,en:spreads,en:sweet-spreads,en:bee-products,en:farming-products,en:sweeteners,en:honeys,en:rosemary-honeys			España	en:spain			0																												100g	100g																																																																			en:sweets	en:sugary-snacks,en:sweets	2	en:2-processed-culinary-ingredients	unknown		b	72	1	31008	-5	-15	1	0							App - yuka, Apps, App - El CoCo
