code	producer_product_id	producer_version_id	lc	product_name_ca	product_name_de	product_name_el	product_name_en	product_name_es	product_name_fi	product_name_fr	product_name_hu	product_name_it	product_name_nl	product_name_pl	product_name_pt	product_name_ro	product_name_sv	product_name_xx	abbreviated_product_name_fr	generic_name_ca	generic_name_de	generic_name_en	generic_name_es	generic_name_fi	generic_name_fr	generic_name_it	generic_name_nl	generic_name_pl	generic_name_pt	generic_name_ro	quantity	serving_size	packaging	packaging_tags	brands	brands_tags	brand_owner	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	origin_es	origin_fr	origin_nl	manufacturing_places	manufacturing_places_tags	producer_fr	producer_nl	emb_codes	emb_codes_tags	ingredients_text_ca	ingredients_text_de	ingredients_text_el	ingredients_text_en	ingredients_text_es	ingredients_text_fi	ingredients_text_fr	ingredients_text_it	ingredients_text_nl	ingredients_text_pl	ingredients_text_pt	ingredients_text_ro	ingredients_text_sv	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kcal_value	energy-kcal_unit	fat_value	fat_unit	saturated-fat_value	saturated-fat_unit	carbohydrates_value	carbohydrates_unit	sugars_value	sugars_unit	fiber_value	fiber_unit	proteins_value	proteins_unit	salt_value	salt_unit	sodium_value	sodium_unit	alcohol_value	alcohol_unit	energy_value	energy_unit	monounsaturated-fat_value	monounsaturated-fat_unit	polyunsaturated-fat_value	polyunsaturated-fat_unit	omega-3-fat_value	omega-3-fat_unit	omega-6-fat_value	omega-6-fat_unit	trans-fat_value	trans-fat_unit	cholesterol_value	cholesterol_unit	added-sugars_value	added-sugars_unit	lactose_value	lactose_unit	soluble-fiber_value	soluble-fiber_unit	vitamin-a_value	vitamin-a_unit	vitamin-d_value	vitamin-d_unit	vitamin-e_value	vitamin-e_unit	vitamin-b2_value	vitamin-b2_unit	vitamin-b6_value	vitamin-b6_unit	vitamin-b9_value	vitamin-b9_unit	vitamin-b12_value	vitamin-b12_unit	biotin_value	biotin_unit	potassium_value	potassium_unit	calcium_value	calcium_unit	iron_value	iron_unit	magnesium_value	magnesium_unit	molybdenum_value	molybdenum_unit	iodine_value	iodine_unit	caffeine_value	caffeine_unit	ph_value	ph_unit	fruits-vegetables-nuts_value	fruits-vegetables-nuts_unit	cocoa_value	cocoa_unit	carbon-footprint_value	carbon-footprint_unit	beta-glucan_value	beta-glucan_unit	packaging_1_number_of_units	packaging_1_shape	packaging_1_material	packaging_1_recycling	packaging_1_quantity_per_unit	packaging_1_weight_measured	packaging_2_number_of_units	packaging_2_shape	packaging_2_material	packaging_2_recycling	packaging_2_weight_measured	packaging_3_number_of_units	packaging_3_shape	packaging_3_material	packaging_3_recycling	packaging_3_weight_measured	conservation_conditions_es	conservation_conditions_fr	conservation_conditions_it	conservation_conditions_nl	conservation_conditions_pl	conservation_conditions_ro	warning_fr	warning_nl	preparation_es	preparation_fr	preparation_it	preparation_nl	preparation_pl	preparation_ro	nutriscore_grade_producer	customer_service_es	customer_service_fr	customer_service_it	customer_service_nl	customer_service_pl	customer_service_ro	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_score	off:ecoscore_data.missing_key_data	off:ecoscore_data.agribalyse.code	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	sources_fields:org-database-usda:available_date	sources_fields:org-database-usda:fdc_category	sources_fields:org-database-usda:fdc_data_source	sources_fields:org-database-usda:fdc_id	sources_fields:org-database-usda:modified_date	sources_fields:org-database-usda:publication_date	sources_fields:org-gs1:gln	sources_fields:org-gs1:gpcCategoryCode	sources_fields:org-gs1:gpcCategoryName	sources_fields:org-gs1:isAllergenRelevantDataProvided	sources_fields:org-gs1:lastChangeDateTime	sources_fields:org-gs1:partyName	sources_fields:org-gs1:productionVariantDescription	sources_fields:org-gs1:publicationDateTime	data_sources
8437020020084			fr					Coral bebida de avena 100 % vegetal																							1 l				CORAL	coral		"Aliments et boissons à base de végétaux, Boissons, Aliments d'origine végétale, Céréales et pommes de terre, Substituts de produits laitiers, Céréales et dérivés, Substituts du lait, Boissons à base de végétaux, Boissons végétales, Boissons végétales de céréales, Boissons à l'avoine"	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:cereals-and-potatoes,en:dairy-substitutes,en:cereals-and-their-products,en:milk-substitutes,en:plant-based-beverages,en:plant-based-milk-alternatives,en:cereal-based-drinks,en:oat-based-drinks	Sans gluten, Sans lactose	en:no-gluten,en:no-lactose	Espagne	en:spain			0																			Eau, OAT (18,5%), phosphate tricalcique, sel marin, stabilisant E418.							Gluten	en:gluten				100g	100g			49	kcal	0.6	g	0	g	9.6	g	5.6	g			0.7	g							49	kcal																																																																																																	en:plant-based-milk-substitutes	en:beverages,en:plant-based-milk-substitutes	4	en:4-ultra-processed-food-and-drink-products	unknown		c	52	1	18905	-5	-15	1	0															App - yuka, Apps
8422410115167			ca	Beguda de civada				Bebida de avena																							1 litro				Bonpreu	bonpreu		Aliments i begudes amb base vegetal, Begudes, Aliments amb base vegetal, Cereals i patates, en:Dairy substitutes, Cereals i derivats, Substitutius de la llet, Begudes amb base vegetal, Begudes vegetals, en:Cereal-based drinks, Beguda de civada, en:Barley-based drinks	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:cereals-and-potatoes,en:dairy-substitutes,en:cereals-and-their-products,en:milk-substitutes,en:plant-based-beverages,en:plant-based-milk-alternatives,en:cereal-based-drinks,en:oat-based-drinks,en:barley-based-drinks	Carbon Trust, FSC, Mix FSC, es:recicla-amarillo	en:carbon-trust,en:fsc,en:fsc-mix,es:recicla-amarillo	Espanya	en:spain	Bonpreu	bonpreu	0													"Aigua, civada (14 %), carbonat càlcic, goma gellan i vitamina D."			water, oats (14%), calcium carbonate, stabilizer (gellan rubber) and vitamin d, may contain soy fruits of shell,	Agua, avena (14%), carbonato de calcio, goma gellan y vitamina D.											en:Nuts, en:Soybeans	en:nuts,en:soybeans		100g	100g	188	kJ	45	kcal	0.8	g	0.2	g	7.7	g	5	g	0.7	g	1.3	g	0.04	g	0.016	g			188	kJ																					0.76	µg															120	mg																																																											en:plant-based-milk-substitutes	en:beverages,en:plant-based-milk-substitutes	1	en:1-unprocessed-or-minimally-processed-foods	b	1	c	52	1	18905	-5	-15	1	0															App - elcoco, Apps, App - yuka, App - El CoCo, App - InFood, App - smoothie-openfoodfacts
8480010204674			es					Bebida avena																							1 Litro				Eroski	eroski		Bebidas y preparaciones de bebidas, Alimentos y bebidas de origen vegetal, Bebidas, Alimentos de origen vegetal, Cereales y patatas, en:Dairy substitutes, Cereales y derivados, Sustitutos de la leche, Bebidas de origen vegetal, Bebidas vegetales, Bebidas de cereales, Bebidas de avena, en:Unsweetened plain oat-based drinks	en:beverages-and-beverages-preparations,en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:cereals-and-potatoes,en:dairy-substitutes,en:cereals-and-their-products,en:milk-substitutes,en:plant-based-beverages,en:plant-based-milk-alternatives,en:cereal-based-drinks,en:oat-based-drinks,en:unsweetened-plain-oat-based-drinks	Sin azúcares añadidos, Nutriscore, Nutriscore B	en:no-added-sugar,en:nutriscore,en:nutriscore-grade-b	España	en:spain	Eroski	eroski	0																	Bebida de avena UHT. : Agua, avena (15%). Puede contener trazas de frutos de cáscara.											Frutos de cáscara	en:nuts		100g	100g			52	kcal	0.8	g	0.1	g	10	g	6.6	g	0	g	1.1	g	0.01	g	0.004	g			52	kcal																																																																																																	en:plant-based-milk-substitutes	en:beverages,en:plant-based-milk-substitutes	1	en:1-unprocessed-or-minimally-processed-foods	b	1	c	52	1	18905	-5	-15	1	0															App - Yuka, Apps, App - El CoCo, App - smoothie-openfoodfacts
8480017151599			es					Bebida de avena con calcio															Bebida de avena UHT, enriquecida con calcio y vitamina D								1 L	250ml	Material compuesto, Tetra Pak	en:composite-material,en:tetra-pak	Dia	dia		Alimentos y bebidas de origen vegetal, Bebidas, Alimentos de origen vegetal, Cereales y patatas, en:Dairy substitutes, Cereales y derivados, Sustitutos de la leche, Bebidas de origen vegetal, Bebidas vegetales, Bebidas de cereales, Bebidas de avena	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:cereals-and-potatoes,en:dairy-substitutes,en:cereals-and-their-products,en:milk-substitutes,en:plant-based-beverages,en:plant-based-milk-alternatives,en:cereal-based-drinks,en:oat-based-drinks	Vegetariano, Vegano, Fuente de calcio, Unión Vegetariana Europea, Unión Vegetariana y vegana Europea, FSC, FSC Mixto, Punto Verde, Sin azúcares añadidos, Sin lactosa	en:vegetarian,en:vegan,en:calcium-source,en:european-vegetarian-union,en:european-vegetarian-union-vegan,en:fsc,en:fsc-mix,en:green-dot,en:no-added-sugar,en:no-lactose	España	en:spain	Dia	dia	0							Madrid,España	madrid,espana			FSC-C014047	fsc-c014047				water, oats 14%, acidulant e341, vitamin d (ergocalciferol), salt, stabilizer e418,	Agua, avena (16%), aceite de girasol alto oleico, carbonato cálcico.									Gluten, Avena	en:gluten,es:avena	Frutos de cáscara, Soja, Aceite girasol alto oleico	en:nuts,en:soybeans,es:aceite-girasol-alto-oleico		100g	serving	236	kJ	56	kcal	0.7	g	0.2	g	11	g	8.1	g	0	g	1.1	g	0.04	g	0.016	g			236	kJ																					0.75	mg															0.12	g																						en:brick	en:tetra-pak																																			www.dia.es	en:plant-based-milk-substitutes	en:beverages,en:plant-based-milk-substitutes	3	en:3-processed-foods	b	1	b	63		18905	-5	-4	0	0															App - yuka, Apps, App - InFood, App - Open Food Facts, App - smoothie-openfoodfacts
8423352100143			es					Bebida de Avena															Bebida de avena								1 l	200 ml	Material compuesto, Tetra Pak, Tetra Brik	en:composite-material,en:tetra-pak,en:tetra-brik	Yosoy	yosoy		Bebidas y preparaciones de bebidas, Alimentos y bebidas de origen vegetal, Bebidas, Alimentos de origen vegetal, Cereales y patatas, en:Dairy substitutes, Cereales y derivados, Sustitutos de la leche, Bebidas de origen vegetal, Bebidas vegetales, Bebidas de cereales, Bebidas no azucaradas, Bebidas de avena	en:beverages-and-beverages-preparations,en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:cereals-and-potatoes,en:dairy-substitutes,en:cereals-and-their-products,en:milk-substitutes,en:plant-based-beverages,en:plant-based-milk-alternatives,en:cereal-based-drinks,en:unsweetened-beverages,en:oat-based-drinks	Bajo o sin azúcar, Sin gluten, Vegetariano, Vegano, Punto Verde, Sin aditivos, Sin lactosa, Sin azúcar	en:low-or-no-sugar,en:no-gluten,en:vegetarian,en:vegan,en:green-dot,en:no-additives,en:no-lactose,en:no-sugar	España	en:spain			0		Montseny	es:montseny								ES 21.14530/GE EC,FSC-C014047	es-21-14530-ge-ec,fsc-c014047				water,  oat (15%)	Agua, avena 15%.									Gluten	en:gluten	Soja	en:soybeans		100g	100g	198	kJ	47	kcal	0.7	g	0.1	g	8.2	g	4.8	g	0.7	g	1.6	g	0.03	g	0.012	g			198	kJ	0.3	g	0.3	g																																																							1	en:brick	en:tetra-brik																																			https://www.liquats.com/gama/yosoy-es/#!yosoy-avena	en:plant-based-milk-substitutes	en:beverages,en:plant-based-milk-substitutes	1	en:1-unprocessed-or-minimally-processed-foods	b	1	b	63		18905	-5	-4	0	0															App - yuka, Apps, App - El CoCo, App - InFood, App - Open Food Facts, App - smoothie-openfoodfacts
7702001161249			es					Bebida vegetal de avena																							1 l				oatnestly	oatnestly		Bebidas y preparaciones de bebidas, Alimentos y bebidas de origen vegetal, Bebidas, Alimentos de origen vegetal, Cereales y patatas, en:Dairy substitutes, Cereales y derivados, Sustitutos de la leche, Bebidas de origen vegetal, Bebidas vegetales, Bebidas de cereales, Bebidas de avena	en:beverages-and-beverages-preparations,en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:cereals-and-potatoes,en:dairy-substitutes,en:cereals-and-their-products,en:milk-substitutes,en:plant-based-beverages,en:plant-based-milk-alternatives,en:cereal-based-drinks,en:oat-based-drinks	Sin gluten, Vegetariano, Vegano, Punto Verde, Hecho en la UE, Nutriscore, Nutriscore B	en:no-gluten,en:vegetarian,en:vegan,en:green-dot,en:made-in-the-eu,en:nutriscore,en:nutriscore-grade-b	España	en:spain			0																															100g	100g			40	kcal	0.4	g	0.3	g	8.1	g	3.2	g			0.9	g	0.2	g	0.08	g			40	kcal																																																																																																	en:plant-based-milk-substitutes	en:beverages,en:plant-based-milk-substitutes		unknown	b	0	c	52	1	18905	-5	-15	1	0															App - Yuka, Apps, App - smoothie-openfoodfacts
24038133			es				Bebida de avena	Bebida de avena															Bebida de avena con calcio ecológica								1 l	1 vaso 250 ml	Tetra Brik, Ultrapasteurizado	es:tetra-brik,es:ultrapasteurizado	Gutbio	gutbio		Alimentos y bebidas de origen vegetal, Bebidas, Alimentos de origen vegetal, Cereales y patatas, en:Dairy substitutes, Cereales y derivados, Sustitutos de la leche, Bebidas de origen vegetal, Bebidas vegetales, Bebidas de cereales, Bebidas de avena	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:cereals-and-potatoes,en:dairy-substitutes,en:cereals-and-their-products,en:milk-substitutes,en:plant-based-beverages,en:plant-based-milk-alternatives,en:cereal-based-drinks,en:oat-based-drinks	Ecológico, Vegetariano, Ecológico UE, Vegano, Fuente de calcio, ES-ECO-020-CV, FSC, FSC Mixto, Sin azúcares añadidos, Sin lactosa	en:organic,en:vegetarian,en:eu-organic,en:vegan,en:calcium-source,en:es-eco-020-cv,en:fsc,en:fsc-mix,en:no-added-sugar,en:no-lactose	España	en:spain	Aldi	aldi	0		Agricultura UE	es:agricultura-ue				[DISTRIBUIDOR],Reus,Tarragona (provincia),Cataluña,España	distribuidor,reus,tarragona-provincia,cataluna,espana			FABRICANTE Y ENVASADOR:,DESCONOCIDO,DISTRIBUIDOR:,NIF: B-43768233,VEGEMIX S.L.	fabricante-y-envasador,desconocido,distribuidor,nif-b-43768233,vegemix-s-l					agua, avena 10%, aceite de girasol, alga marina calcárea, sal.									Gluten	en:gluten				100g	100g			49	kcal	0.9	g	0.1	g	9.1	g	4.6	g			1	g	0.1	g	0.04	g			49	kcal																																					120	mg																						en:brick	en:tetra-brik																																			https://www.aldi.es/detalle-producto/Bebida-de-avena-con-calcio/	en:plant-based-milk-substitutes	en:beverages,en:plant-based-milk-substitutes	3	en:3-processed-foods	b	1	b	78		18905	-5	-4	0	15															App - yuka, Apps, App - El CoCo, App - Open Food Facts
5411188124702			en				Oat No Sugars															Oat milk with no sugar									1 l	100ml	1 1L composite carton to recycle, 1 cap to recycle	en:1-1l-composite-carton-to-recycle,en:1-cap-to-recycle	Alpro,Danone	alpro,danone		Plant-based foods and beverages, Beverages, Plant-based foods, Cereals and potatoes, Dairy substitutes, Cereals and their products, Milk substitutes, Plant-based beverages, Plant-based milk alternatives, Cereal-based drinks, Oat-based drinks	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:cereals-and-potatoes,en:dairy-substitutes,en:cereals-and-their-products,en:milk-substitutes,en:plant-based-beverages,en:plant-based-milk-alternatives,en:cereal-based-drinks,en:oat-based-drinks	Low or no fat, Low or no sugar, Low fat, Vegetarian, No artificial sweeteners, Source of fibre, Vegan, Calcium source, Certified B Corporation, European Vegetarian Union, European Vegetarian Union Vegan, FSC, FSC Mix, High fibres, No colorings, No lactose, No sugar, The Vegan Society, Vitamin B12 source, Vitamin B2 source, Vitamin D source	en:low-or-no-fat,en:low-or-no-sugar,en:low-fat,en:vegetarian,en:no-artificial-sweeteners,en:source-of-fibre,en:vegan,en:calcium-source,en:certified-b-corporation,en:european-vegetarian-union,en:european-vegetarian-union-vegan,en:fsc,en:fsc-mix,en:high-fibres,en:no-colorings,en:no-lactose,en:no-sugar,en:the-vegan-society,en:vitamin-b12-source,en:vitamin-b2-source,en:vitamin-d-source	Netherlands, Spain, United Kingdom	en:netherlands,en:spain,en:united-kingdom	Tesco,Asda	tesco,asda	0		Europe	en:europe								FSC-C014047,FSC-C081801	fsc-c014047,fsc-c081801				Oat base (97.1%) (Water, Oat (8.3%]). Chicory root fibre, Sunflower oil, Calcium (Calcium carbonate), Sea salt, Stabiliser (Gellan gum), Vitamins B2, B12, D2. For allergens, including cereals containing gluten, see ingredients in bold. Free from dairy. Naturally lactose free.										Gluten	en:gluten	Balanced-diet-and-a-healthy-lifestyle-is-recommended-for-good-health, Free-from-dairy-can-be-introduced-as-part-of-a-healthy-balanced-diet-from-1year-of-age-not-suitable-as-a-main-milk-drink-for-children-under-3-a-varied	en:balanced-diet-and-a-healthy-lifestyle-is-recommended-for-good-health,en:free-from-dairy-can-be-introduced-as-part-of-a-healthy-balanced-diet-from-1year-of-age-not-suitable-as-a-main-milk-drink-for-children-under-3-a-varied		100g	100g	167	kJ	40	kcal	1.5	g	0.2	g	5.6	g	0	g	1.2	g	0.2	g	0.09	g	0.036	g			167	kJ																					0.75	µg			0.21	mg					0.38	µg					120	mg																					1	en:bottle-cap	en:composite-material	en:recycle			1	en:bottle-cap		en:recycle																												https://www.alpro.com/uk/products/drinks/oat-drinks/oat-no-sugars-chilled/	en:plant-based-milk-substitutes	en:beverages,en:plant-based-milk-substitutes	4	en:4-ultra-processed-food-and-drink-products	a	-1	b	68		18905	-2	-2	0	0															App - yuka, Apps, App - El CoCo, App - Horizon, App - InFood, App - smoothie-openfoodfacts
8422410498925			es					BEGUDA DE CIVADA 0% SUCRES																											Bonpreu	bonpreu		Bebidas y preparaciones de bebidas, Alimentos y bebidas de origen vegetal, Bebidas, Alimentos de origen vegetal, Cereales y patatas, en:Dairy substitutes, Cereales y derivados, Sustitutos de la leche, Bebidas de origen vegetal, Bebidas vegetales, Bebidas de cereales, Bebidas de avena, B12-i-d-uht, Beguda-de-civada-enriquida-en-vitamines-b2	en:beverages-and-beverages-preparations,en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:cereals-and-potatoes,en:dairy-substitutes,en:cereals-and-their-products,en:milk-substitutes,en:plant-based-beverages,en:plant-based-milk-alternatives,en:cereal-based-drinks,en:oat-based-drinks,es:b12-i-d-uht,es:beguda-de-civada-enriquida-en-vitamines-b2	Carbon Trust, Carbon Trust Reducing CO2	en:carbon-trust,en:carbon-trust-reducing-co2	España	en:spain	Bonpreu	bonpreu	0											FSC-C014047	fsc-c014047					1 BEGUDA DE CIVADA ENRIQUIDA EN VITAMINES B2, B12 I D. UHT. INGREDIENTS Aigua, civada (8,4 %), oli de gira-sol alt oleic, sal marina, vitamina B2 (riboflavina), vitamina B12 (cianocobalamina) i vitamina D (ergocalficerol). Pot contenir fruits de closca.														100g	100g			24	kcal	0.9	g	0.1	g	3.2	g	0	g	0.5	g	0.6	g	0.1	g	0.04	g			24	kcal																																																																																																	en:plant-based-milk-substitutes	en:beverages,en:plant-based-milk-substitutes	4	en:4-ultra-processed-food-and-drink-products	b	0	c	57		18905	-5	-10	0	0															App - Yuka, Apps, App - smoothie-openfoodfacts
8023678728832			it					Leche de avena barista				Oat Barista Fomable																			1L				Isola Bio	isola-bio		Cibi e bevande a base vegetale, Bevande, Cibi a base vegetale, Cereali e patate, en:Dairy substitutes, Cereali e i loro prodotti, Sostituto del latte, Bevande a base di piante, Latte vegetale, Latte di cereali, Bevanda di avena	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:cereals-and-potatoes,en:dairy-substitutes,en:cereals-and-their-products,en:milk-substitutes,en:plant-based-beverages,en:plant-based-milk-alternatives,en:cereal-based-drinks,en:oat-based-drinks	Biologico, Biologico UE, Kosher, EAC, Punto Verde, Kosher-parve, Prodotto in Italia, Senza zuccheri aggiunti	en:organic,en:eu-organic,en:kosher,en:eac,en:green-dot,en:kosher-parve,en:made-in-italy,en:no-added-sugar	Italia, Spagna	en:italy,en:spain			0		Italia	en:italy				"Abafoods S.r.l., Via Cà Mignola Nuova 1775 – 45021 - Badia Polesine (RO) Italia, Italy"	abafoods-s-r-l,via-ca-mignola-nuova-1775-45021-badia-polesine-ro-italia,italy			IT 05-122 CE,FSC-C014047	it-05-122-ec,fsc-c014047								Acqua, avena integrale 16%, inulina 1%, olio di girasole spremuto a freddo, proteine di pisello, sale marino.											100g	100g	236	kJ	56	kcal	1.2	g	0.2	g	9.7	g	4	g	1.3	g	1	g	0.2	g	0.08	g			236	kJ																																																													xx:84-c-pap																																				en:plant-based-milk-substitutes	en:beverages,en:plant-based-milk-substitutes	3	en:3-processed-foods	a	-1	b	79		18905	2	-10	0	15															App - yuka, Apps, App - smoothie-openfoodfacts
