code	producer_product_id	lc	product_name_de	product_name_en	product_name_es	product_name_fr	product_name_nl	product_name_pl	product_name_pt	generic_name_en	generic_name_es	generic_name_fr	generic_name_nl	generic_name_pt	quantity	serving_size	packaging	packaging_tags	brands	brands_tags	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	origin_en	origin_es	origin_fr	origin_nl	manufacturing_places	manufacturing_places_tags	producer_es	producer_fr	producer_nl	emb_codes	emb_codes_tags	ingredients_text_de	ingredients_text_en	ingredients_text_es	ingredients_text_fr	ingredients_text_nl	ingredients_text_pt	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kcal_value	energy-kcal_unit	fat_value	fat_unit	saturated-fat_value	saturated-fat_unit	carbohydrates_value	carbohydrates_unit	sugars_value	sugars_unit	fiber_value	fiber_unit	proteins_value	proteins_unit	salt_value	salt_unit	sodium_value	sodium_unit	alcohol_value	alcohol_unit	energy_value	energy_unit	vitamin-e_value	vitamin-e_unit	vitamin-c_value	vitamin-c_unit	vitamin-b1_value	vitamin-b1_unit	vitamin-b2_value	vitamin-b2_unit	vitamin-pp_value	vitamin-pp_unit	vitamin-b6_value	vitamin-b6_unit	vitamin-b9_value	vitamin-b9_unit	potassium_value	potassium_unit	calcium_value	calcium_unit	manganese_value	manganese_unit	fruits-vegetables-nuts_value	fruits-vegetables-nuts_unit	fruits-vegetables-nuts-dried_value	fruits-vegetables-nuts-dried_unit	fruits-vegetables-nuts-estimate_value	fruits-vegetables-nuts-estimate_unit	packaging_1_number_of_units	packaging_1_shape	packaging_1_material	packaging_1_recycling	packaging_1_quantity_per_unit	packaging_1_weight_measured	packaging_2_number_of_units	packaging_2_shape	packaging_2_material	packaging_2_recycling	packaging_2_weight_measured	conservation_conditions_es	conservation_conditions_fr	conservation_conditions_nl	warning_es	warning_fr	warning_nl	preparation_es	preparation_fr	preparation_nl	nutriscore_score_producer	nutriscore_grade_producer	customer_service_es	customer_service_fr	customer_service_nl	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_score	off:ecoscore_data.missing_key_data	off:ecoscore_data.agribalyse.code	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	data_sources
8480000706362		es			Smoothie Mango						Zumo de frutas con puré de mango						en:Bottle or vial, Botella	en:bottle-or-vial,en:bottle	Hacendado	hacendado	Alimentos y bebidas de origen vegetal, Bebidas, Bebidas de origen vegetal, Smoothies	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:smoothies			España	en:spain	Mercadona	mercadona	0		Países Bajos	en:netherlands														Zumo de manzana (50%), puré de mango (28%), zumo de naranja (22%) y antioxidante: ácido ascórbico.									100g	100g	222	kJ	53	kcal	0.1	g			12.5	g			0.5	g	0.4	g							222	kJ																																																					en:unsweetened-beverages	en:beverages,en:unsweetened-beverages	1	en:1-unprocessed-or-minimally-processed-foods	unknown		c	47	1	2500	3	-15	1	0	App - smoothie-openfoodfacts, Apps, App - El CoCo, App - macrofactor
8480000399809		es		Smoothie fresa	Smoothie fresa														Hacendado	hacendado	Alimentos y bebidas de origen vegetal, Bebidas, Bebidas de origen vegetal, Bebidas a base de frutas, Zumos y néctares, Zumos de frutas, Zumos multifruta, Smoothies	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fruit-based-beverages,en:juices-and-nectars,en:fruit-juices,en:multifruit-juices,en:smoothies			España	en:spain	Mercadona,Hacendado	mercadona,hacendado	0																strawberry puree (44%), apple juice (40%) and banana puree (16%), antioxidant: ascorbic acid,	Puré de fresa (44%), zumo de manzana (40%) y puré de plátano (16%), antioxidante: ácido ascórbico,									100g	100g			46	kcal	0.1	g	0	g	10.5	g	9.4	g	0.8	g	0.6	g	0.01	g	0.004	g			46	kcal																																																					en:unsweetened-beverages	en:beverages,en:unsweetened-beverages	1	en:1-unprocessed-or-minimally-processed-foods	c	4	d	39	1	2500	-5	-15	1	0	App - elcoco, App - yuka, Apps, App - El CoCo, App - smoothie-openfoodfacts, App - InFood
8410261768175		en		Strawberry Raspberry Blackberry Banana Smoothie	Smoothie	Smoothie				A blend of juices and purees					330 ml				Don Simón	don-simon	Plant-based foods and beverages, Beverages, Plant-based beverages, Fruit-based beverages, Juices and nectars, Fruit juices, Multifruit juices, Smoothies	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fruit-based-beverages,en:juices-and-nectars,en:fruit-juices,en:multifruit-juices,en:smoothies	No added sugar	en:no-added-sugar	France, Spain, United Kingdom	en:france,en:spain,en:united-kingdom	Tesco	tesco	0																Apple Juice 39%, Banana Puree 20%, Grape Juice 10%, Strawberry Puree 9%, Blackberry Puree 8%, Raspberry Puree 7%, Orange 5%, Blackcurrant Puree 2%					Orange	en:orange				100g	100g	242	kJ	57	kcal	0	g	0	g	12.6	g	12.6	g	1.6	g	0.6	g	0.01	g	0.004	g			242	kJ																											1	en:bottle	en:recyclable-plastic	en:recycle-with-plastics			1	en:bottle-cap	en:recyclable-plastic	en:recycle-with-plastics																	en:unsweetened-beverages	en:beverages,en:unsweetened-beverages	1	en:1-unprocessed-or-minimally-processed-foods	d	7	c	43		2500	-5	-11	1	0	App - yuka, Apps, app-elcoco, App - smoothie-openfoodfacts
8410175078193		et			Corny														Corny	corny	en:Beverages and beverages preparations, en:Plant-based foods and beverages, en:Beverages, en:Plant-based beverages, en:Smoothies	en:beverages-and-beverages-preparations,en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:smoothies			Hispaania	en:spain	Selver	selver	0																										100g	100g			4	kcal	0.6	g	0.2	g	15	g	11	g	24	g	1	g	0	g	0	g			4	kcal																																																								unknown	c	4	d	39	1	2500	-5	-15	1	0	App - yuka, Apps, App - smoothie-openfoodfacts
8410175078179		et			Smoothie Banana Rasberry Blueberry & Oats														Corny	corny	en:Beverages and beverages preparations, en:Plant-based foods and beverages, en:Beverages, en:Plant-based beverages, en:Smoothies	en:beverages-and-beverages-preparations,en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:smoothies	No added sugar	en:no-added-sugar	Hispaania	en:spain			0																										100g	100g			87	kcal	0.6	g	0.1	g	17	g	10	g	3.7	g	1.5	g	0	g	0	g			87	kcal																																																								unknown	e	14	d	39	1	2500	-5	-15	1	0	App - yuka, Apps, App - smoothie-openfoodfacts
20884161		es	Smoothie mix rot		Smoothie mix fresas, plátano y arándanos						Mezcla de frutas con fresas, plátano y arándanos. Producto ultracongelado.				450 g (3 x 150g)	150 g	Plástico, Bolsa, Congelado	en:plastic,en:bag,en:frozen	Lidl	lidl	Bebidas y preparaciones de bebidas, Alimentos y bebidas de origen vegetal, Bebidas, Alimentos de origen vegetal, Frutas y verduras y sus productos, Congelados, Frutas y sus productos, Bebidas de origen vegetal, Alimentos de origen vegetal congelados, Frutas, Frutas congeladas, Mezclas de frutas congeladas, Smoothies	en:beverages-and-beverages-preparations,en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:frozen-foods,en:fruits-based-foods,en:plant-based-beverages,en:frozen-plant-based-foods,en:fruits,en:frozen-fruits,en:frozen-mixed-fruits,en:smoothies	Punto Verde, Hecho en Alemania	en:green-dot,en:made-in-germany	Francia, Alemania, España	en:france,en:germany,en:spain	Lidl	lidl	0								Alemania	alemania								55% fresas, 30% plátano, 15% arándanos.									100g	100g			55	kcal	0.4	g	0.1	g	9.9	g	9.3	g	2.39	g	1	g	0.025	g	0.01	g			55	kcal																												en:bag	en:plastic																								en:fruits	en:fruits-and-vegetables,en:fruits	1	en:1-unprocessed-or-minimally-processed-foods	c	3	c	44		2500	-5	-10	1	0	App - yuka, Apps, App - Speisekammer
8410261768168		en		Mango Passionfruit Orange - Smoothie	Smoothie					Smoothie: a blend of juices and purées	Mezcla de purés y zumos de frutas				330 ml	330 ml	Green sot	en:green-sot	Don Simón	don-simon	Plant-based foods and beverages, Beverages, Plant-based beverages, Fruit-based beverages, Juices and nectars, Fruit juices, Smoothies, Fruit smoothies	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fruit-based-beverages,en:juices-and-nectars,en:fruit-juices,en:smoothies,en:fruit-smoothies			Poland, Spain, United Kingdom	en:poland,en:spain,en:united-kingdom	Consum,Tesco	consum,tesco	0								Madrid	madrid							Apple Juice 52%, Mango Puree 16%, Banana Puree 15%, Orange Juice 10%, Passion Fruit Juice 4%, Peach Puree 2%, Lemon Juice	Zumo de manzana 52%, puré de mango 16%, puré de plátano 15%, zumo de naranja 10%, zumo de maracuyá 4%, puré de melocotón 2%, zumo de limón.									100g	100g	229	kJ	54	kcal	0	g	0	g	12.4	g	12.4	g	1	g	0.6	g	0.01	g	0.004	g			229	kJ																																																					en:unsweetened-beverages	en:beverages,en:unsweetened-beverages	1	en:1-unprocessed-or-minimally-processed-foods	d	6	d	39	1	2500	-5	-15	1	0	App - elcoco, Apps, App - yuka, App - El CoCo, App - Open Food Facts
8410171011095		en			Smoothie fresa+platano +frambuesa														Summum	summum	Plant-based foods and beverages, Beverages, Plant-based beverages, Smoothies, Fruit smoothies	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:smoothies,en:fruit-smoothies			Spain	en:spain			0																sumum Smoothie de fruta Frambuesa Fresa Plátano Envase 100% Reciclable	puré de frutas ( frambuesa , fresa plátano arándando azul) 52% , zumo de frutas (mañana y naranja) 48%,									100g	100g	188	kJ	44	kcal	0.2	g	0	g	9.7	g	9.3	g	0.8	g	0.6	g	0	g	0	g			188	kJ																																																					en:unsweetened-beverages	en:beverages,en:unsweetened-beverages		unknown	e	14	d	39	1	2500	-5	-15	1	0	App - yuka, Apps, App - smoothie-openfoodfacts
8433329129848		es			Smoothie														El Corte Inglés	el-corte-ingles	Alimentos y bebidas de origen vegetal, Bebidas, Bebidas de origen vegetal, Smoothies	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:smoothies			España	en:spain	El Corte Inglés	el-corte-ingles	0																										100g	100g			51	kcal	0.5	g	0	g	11	g	11	g	0.8	g	0.5	g	0	g	0	g			51	kcal																																																								unknown	e	16	d	39	1	2500	-5	-15	1	0	App - yuka, Apps
8433329108751		es			Smoothie manzana, kiwi, piña														El Corte Inglés	el-corte-ingles	Alimentos y bebidas de origen vegetal, Bebidas, Bebidas de origen vegetal, Bebidas a base de frutas, Zumos y néctares, Zumos de frutas, Smoothies	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fruit-based-beverages,en:juices-and-nectars,en:fruit-juices,en:smoothies			España	en:spain	El Corte Inglés	el-corte-ingles	0																										100g	100g			51	kcal	0.5	g	0	g	11	g	11	g			0.5	g	0	g	0	g			51	kcal																																																					en:fruit-juices	en:beverages,en:fruit-juices		unknown	d	6	d	39	1	2500	-5	-15	1	0	App - yuka, Apps
8433329122658		es			Smoothie de manzana y frutas del bosque														El Corte Inglés	el-corte-ingles	Alimentos y bebidas de origen vegetal, Bebidas, Bebidas de origen vegetal, Bebidas a base de frutas, Zumos y néctares, Zumos de frutas, Smoothies	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fruit-based-beverages,en:juices-and-nectars,en:fruit-juices,en:smoothies	Punto Verde	en:green-dot	España	en:spain	El Corte Inglés	el-corte-ingles	0																										100g	100g			45	kcal	0.5	g	0	g	9.8999996185303	g	9.6000003814697	g			0.5	g	0	g	0	g			45	kcal																																																					en:fruit-juices	en:beverages,en:fruit-juices		unknown	c	4	d	39	1	2500	-5	-15	1	0	App - yuka, Apps
